Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0906,8,6,14,25,56.00%,7,5,12
"Chief Justice, 14th Court of Appeals District",0907,12,19,31,181,17.13%,6,25,31
"Chief Justice, 14th Court of Appeals District",0908,0,1,1,0,0.00%,0,1,1
"Chief Justice, 14th Court of Appeals District",0909,2,1,3,18,16.67%,0,3,3
"Chief Justice, 14th Court of Appeals District",0910,25,24,49,217,22.58%,19,26,45
"Chief Justice, 14th Court of Appeals District",0911,118,60,178,551,32.30%,120,52,172
"Chief Justice, 14th Court of Appeals District",0912,316,201,517,1273,40.61%,341,152,493
"Chief Justice, 14th Court of Appeals District",0913,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0914,169,179,348,701,49.64%,276,59,335
"Chief Justice, 14th Court of Appeals District",0915,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0916,417,240,657,1491,44.06%,528,109,637
"Chief Justice, 14th Court of Appeals District",0917,177,62,239,483,49.48%,160,68,228
"Chief Justice, 14th Court of Appeals District",0918,304,168,472,883,53.45%,364,90,454
"Chief Justice, 14th Court of Appeals District",0919,0,0,0,3,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0920,22,12,34,71,47.89%,23,10,33
"Chief Justice, 14th Court of Appeals District",0921,32,15,47,119,39.50%,33,14,47
"Chief Justice, 14th Court of Appeals District",0922,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0923,470,137,607,1511,40.17%,458,132,590
"Chief Justice, 14th Court of Appeals District",0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0925,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0926,171,128,299,796,37.56%,223,67,290
"Chief Justice, 14th Court of Appeals District",0927,44,30,74,270,27.41%,29,41,70
"Chief Justice, 14th Court of Appeals District",0928,3,0,3,8,37.50%,0,3,3
"Chief Justice, 14th Court of Appeals District",0929,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0930,109,54,163,584,27.91%,5,155,160
"Chief Justice, 14th Court of Appeals District",0931,30,40,70,130,53.85%,37,27,64
"Chief Justice, 14th Court of Appeals District",0932,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0933,115,85,200,627,31.90%,56,138,194
"Chief Justice, 14th Court of Appeals District",0934,2,0,2,63,3.17%,1,1,2
"Chief Justice, 14th Court of Appeals District",0935,3,2,5,54,9.26%,1,3,4
"Chief Justice, 14th Court of Appeals District",0936,8,2,10,81,12.35%,3,6,9
"Chief Justice, 14th Court of Appeals District",0937,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0938,30,14,44,231,19.05%,12,30,42
"Chief Justice, 14th Court of Appeals District",0939,0,0,0,2,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0940,0,0,0,10,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0941,9,10,19,25,76.00%,19,0,19
"Chief Justice, 14th Court of Appeals District",0942,53,27,80,156,51.28%,67,11,78
"Chief Justice, 14th Court of Appeals District",0943,164,80,244,547,44.61%,166,64,230
"Chief Justice, 14th Court of Appeals District",0944,20,4,24,45,53.33%,19,1,20
"Chief Justice, 14th Court of Appeals District",0945,1,2,3,17,17.65%,1,2,3
"Chief Justice, 14th Court of Appeals District",0946,0,1,1,13,7.69%,0,1,1
"Chief Justice, 14th Court of Appeals District",0947,177,246,423,799,52.94%,229,178,407
"Chief Justice, 14th Court of Appeals District",0948,0,14,14,1,1400.00%,8,4,12
"Chief Justice, 14th Court of Appeals District",0949,34,27,61,193,31.61%,32,29,61
"Chief Justice, 14th Court of Appeals District",0950,0,0,0,1,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0951,33,30,63,277,22.74%,17,44,61
"Chief Justice, 14th Court of Appeals District",0952,15,15,31,71,43.66%,15,14,29
"Chief Justice, 14th Court of Appeals District",0953,18,9,27,275,9.82%,4,23,27
"Chief Justice, 14th Court of Appeals District",0954,0,0,0,1,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0955,3,2,5,19,26.32%,4,1,5
"Chief Justice, 14th Court of Appeals District",0956,2,4,6,11,54.55%,2,4,6
"Chief Justice, 14th Court of Appeals District",0957,97,95,192,562,34.16%,23,168,191
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0958,81,129,210,1081,19.43%,51,155,206
"Chief Justice, 14th Court of Appeals District",0959,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0960,196,157,353,976,36.17%,73,268,341
"Chief Justice, 14th Court of Appeals District",0961,15,0,16,56,28.57%,0,16,16
"Chief Justice, 14th Court of Appeals District",0962,10,17,27,88,30.68%,4,23,27
"Chief Justice, 14th Court of Appeals District",0963,54,41,105,426,24.65%,59,42,101
"Chief Justice, 14th Court of Appeals District",0964,568,437,1005,2372,42.37%,616,357,973
"Chief Justice, 14th Court of Appeals District",0965,31,21,52,343,15.16%,28,24,52
"Chief Justice, 14th Court of Appeals District",0966,129,83,212,1148,18.47%,76,131,207
"Chief Justice, 14th Court of Appeals District",0967,15,48,63,165,38.18%,18,44,62
"Chief Justice, 14th Court of Appeals District",0968,119,30,149,692,21.53%,29,119,148
"Chief Justice, 14th Court of Appeals District",0969,156,73,229,604,37.91%,1,226,227
"Chief Justice, 14th Court of Appeals District",0970,83,36,119,731,16.28%,16,101,117
"Chief Justice, 14th Court of Appeals District",0971,11,8,19,147,12.93%,1,15,16
"Chief Justice, 14th Court of Appeals District",0972,e,8,14,31,45.16%,13,1,14
"Chief Justice, 14th Court of Appeals District",0973,24,19,43,111,38.74%,19,20,39
"Chief Justice, 14th Court of Appeals District",0974,57,36,93,299,31.10%,58,34,92
"Chief Justice, 14th Court of Appeals District",0975,55,30,85,193,44.04%,42,39,81
"Chief Justice, 14th Court of Appeals District",0976,58,62,130,683,19.03%,82,46,128
"Chief Justice, 14th Court of Appeals District",0977,50,43,93,572,16.26%,44,49,93
"Chief Justice, 14th Court of Appeals District",0978,77,79,156,546,28.57%,29,125,154
"Chief Justice, 14th Court of Appeals District",0979,2,6,8,27,29.63%,4,3,7
"Chief Justice, 14th Court of Appeals District",0980,280,321,601,1389,43.27%,455,122,577
"Chief Justice, 14th Court of Appeals District",0981,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0982,312,312,624,1567,39.82%,515,90,605
"Chief Justice, 14th Court of Appeals District",0983,11,21,32,161,19.88%,20,12,32
"Chief Justice, 14th Court of Appeals District",0984,18,9,27,192,14.06%,4,22,26
"Chief Justice, 14th Court of Appeals District",0985,117,63,180,351,51.28%,91,76,167
"Chief Justice, 14th Court of Appeals District",0986,43,30,73,463,15.77%,12,60,72
"Chief Justice, 14th Court of Appeals District",0987,231,90,321,1155,27.79%,28,286,314
"Chief Justice, 14th Court of Appeals District",0988,24,12,36,123,29.27%,33,3,36
"Chief Justice, 14th Court of Appeals District",0989,e,6,12,43,27.91%,8,4,12
"Chief Justice, 14th Court of Appeals District",0990,16,1,17,140,12.14%,7,9,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0991,0,0,0,1,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0992,157,107,264,1048,25.19%,147,106,253
"Chief Justice, 14th Court of Appeals District",0993,159,101,270,568,47.54%,221,39,260
"Chief Justice, 14th Court of Appeals District",0994,5,5,11,25,44.00%,2,9,11
"Chief Justice, 14th Court of Appeals District",0995,295,156,452,1393,32.45%,28,417,445
"Chief Justice, 14th Court of Appeals District",0996,135,140,275,694,39.53%,151,105,257
"Chief Justice, 14th Court of Appeals District",0997,101,163,264,1656,15.94%,60,201,261
"Chief Justice, 14th Court of Appeals District",0998,5,1,5,57,10.53%,3,3,6
"Chief Justice, 14th Court of Appeals District",0999,17,10,27,68,39.71%,23,3,26
"Chief Justice, 14th Court of Appeals District",1000,42,6,45,405,11.85%,12,35,47
"Chief Justice, 14th Court of Appeals District",1001,225,136,364,1565,23.26%,95,249,344
"Chief Justice, 14th Court of Appeals District",1002,170,139,309,1744,17.72%,55,237,292
"Chief Justice, 14th Court of Appeals District",1003,1,0,1,0,0.00%,1,0,1
"Chief Justice, 14th Court of Appeals District",1004,111,139,250,654,38.23%,125,107,232
"Chief Justice, 14th Court of Appeals District",1005,0,8,8,0,0.00%,3,3,6
"Chief Justice, 14th Court of Appeals District",1006,1,0,1,5,20.00%,1,0,1
"Chief Justice, 14th Court of Appeals District",1007,205,188,396,1547,25.60%,94,288,382
"Chief Justice, 14th Court of Appeals District",1008,32,12,44,151,29.14%,33,10,43
"Chief Justice, 14th Court of Appeals District",1009,0,0,0,9,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1010,59,35,94,459,20.48%,16,74,90
"Chief Justice, 14th Court of Appeals District",1011,5,1,9,26,34.62%,4,5,9
"Chief Justice, 14th Court of Appeals District",1012,134,201,335,1365,24.54%,103,224,327
"Chief Justice, 14th Court of Appeals District",1013,0,6,5,58,10.34%,3,3,6
"Chief Justice, 14th Court of Appeals District",1014,4,6,10,31,32.26%,1,9,10
"Chief Justice, 14th Court of Appeals District",1015,5,4,9,25,36.00%,2,6,8
"Chief Justice, 14th Court of Appeals District",1016,252,212,464,1691,27.44%,230,220,450
"Chief Justice, 14th Court of Appeals District",1017,51,44,105,330,31.82%,32,71,103
"Chief Justice, 14th Court of Appeals District",1018,93,64,157,494,31.78%,73,82,155
"Chief Justice, 14th Court of Appeals District",1019,130,107,237,1456,16.28%,13,220,233
"Chief Justice, 14th Court of Appeals District",1020,0,0,0,1,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1021,0,0,0,2,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1022,97,79,176,441,39.91%,134,34,168
"Chief Justice, 14th Court of Appeals District",1023,430,315,745,2026,36.77%,532,191,723
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",1024,55,61,116,249,46.59%,65,44,109
"Chief Justice, 14th Court of Appeals District",1025,0,1,1,14,7.14%,1,0,1
"Chief Justice, 14th Court of Appeals District",1026,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1027,1,0,1,8,12.50%,0,1,1
"Chief Justice, 14th Court of Appeals District",1028,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1029,537,719,1256,2927,42.91%,1001,215,1216
"Chief Justice, 14th Court of Appeals District",1030,231,151,382,785,48.66%,337,38,375
"Chief Justice, 14th Court of Appeals District",1031,59,71,130,792,16.41%,35,86,121
"Chief Justice, 14th Court of Appeals District",1032,31,25,56,244,22.95%,35,18,53
"Chief Justice, 14th Court of Appeals District",1033,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1034,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1035,2,4,6,138,4.35%,2,4,6
"Chief Justice, 14th Court of Appeals District",1036,65,24,89,449,19.82%,73,15,88
"Chief Justice, 14th Court of Appeals District",1037,19,11,30,76,39.47%,17,10,27
"Chief Justice, 14th Court of Appeals District",1038,62,6,68,327,20.80%,9,58,67
"Chief Justice, 14th Court of Appeals District",1039,2,0,2,25,8.00%,0,2,2
"Chief Justice, 14th Court of Appeals District",1040,91,66,157,771,20.36%,71,81,152
"Chief Justice, 14th Court of Appeals District",1041,0,2,2,0,0.00%,0,2,2
"Chief Justice, 14th Court of Appeals District",1042,105,67,172,521,33.01%,50,116,166
"Chief Justice, 14th Court of Appeals District",1043,6,6,12,33,36.36%,4,8,12
"Chief Justice, 14th Court of Appeals District",1044,16,6,22,55,40.00%,7,14,21
"Chief Justice, 14th Court of Appeals District",1045,197,173,370,1788,20.69%,49,305,354
"Chief Justice, 14th Court of Appeals District",1046,11,5,16,62,25.81%,1,15,16
"Chief Justice, 14th Court of Appeals District",1047,255,186,441,1568,28.13%,162,268,430
"Chief Justice, 14th Court of Appeals District",1048,1,0,1,17,5.88%,1,0,1
"Chief Justice, 14th Court of Appeals District",1049,14,45,59,290,20.34%,20,36,56
"Chief Justice, 14th Court of Appeals District",1050,60,63,123,537,22.91%,35,83,118
"Chief Justice, 14th Court of Appeals District",1051,0,31,31,0,0.00%,19,12,31
"Chief Justice, 14th Court of Appeals District",1052,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1053,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1054,0,0,0,1,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1055,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1056,4,2,6,8,75.00%,1,4,5
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",1057,7,9,16,118,13.56%,3,12,15
"Chief Justice, 14th Court of Appeals District",1058,241,285,526,1243,42.32%,102,410,512
"Chief Justice, 14th Court of Appeals District",1059,3,3,6,28,21.43%,1,5,6
"Chief Justice, 14th Court of Appeals District",1060,5,2,7,42,16.67%,5,2,7
"Chief Justice, 14th Court of Appeals District",1061,332,184,516,1716,30.07%,276,224,500
"Chief Justice, 14th Court of Appeals District",1062,17,6,23,201,11.44%,4,17,21
"Chief Justice, 14th Court of Appeals District",1063,66,59,125,857,14.59%,18,104,122
"Chief Justice, 14th Court of Appeals District",1064,25,11,36,119,30.25%,27,9,36
"Chief Justice, 14th Court of Appeals District",1065,1,0,1,28,3.57%,0,1,1
"Chief Justice, 14th Court of Appeals District",1066,72,0,72,229,31.44%,3,67,70
"Chief Justice, 14th Court of Appeals District",1067,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",1068,22,8,30,121,24.79%,11,17,28
"Chief Justice, 14th Court of Appeals District",1069,434,256,690,2580,26.74%,317,338,655
"Chief Justice, 14th Court of Appeals District",Totals:,378888,308736,687624,2044361,,360462,300945,661407
