Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Wise,DEM Gordon Goodman,Totals
"Justice, 14th Court of Appeals District, Place 7",0915,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0916,417,240,657,1491,44.06%,526,112,638
"Justice, 14th Court of Appeals District, Place 7",0917,177,62,239,483,49.48%,160,66,226
"Justice, 14th Court of Appeals District, Place 7",0918,304,168,472,883,53.45%,368,79,447
"Justice, 14th Court of Appeals District, Place 7",0919,0,0,0,3,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0920,22,12,34,71,47.89%,23,10,33
"Justice, 14th Court of Appeals District, Place 7",0921,32,15,47,119,39.50%,35,12,47
"Justice, 14th Court of Appeals District, Place 7",0922,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0923,470,137,607,1511,40.17%,455,135,590
"Justice, 14th Court of Appeals District, Place 7",0924,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0925,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0926,171,128,299,796,37.56%,231,59,290
"Justice, 14th Court of Appeals District, Place 7",0927,44,30,74,270,27.41%,32,36,68
"Justice, 14th Court of Appeals District, Place 7",0928,3,0,3,8,37.50%,0,3,3
"Justice, 14th Court of Appeals District, Place 7",0929,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0930,109,54,163,584,27.91%,7,154,161
"Justice, 14th Court of Appeals District, Place 7",0931,30,40,70,130,53.85%,39,25,64
"Justice, 14th Court of Appeals District, Place 7",0932,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0933,115,85,200,627,31.90%,57,137,194
"Justice, 14th Court of Appeals District, Place 7",0934,2,0,2,63,3.17%,1,1,2
"Justice, 14th Court of Appeals District, Place 7",0935,3,2,5,54,9.26%,1,2,3
"Justice, 14th Court of Appeals District, Place 7",0936,s,2,10,81,12.35%,3,6,9
"Justice, 14th Court of Appeals District, Place 7",0937,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0938,30,14,44,231,19.05%,16,27,43
"Justice, 14th Court of Appeals District, Place 7",0939,0,0,0,2,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0940,0,0,0,10,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0941,9,10,19,25,76.00%,19,0,19
"Justice, 14th Court of Appeals District, Place 7",0942,53,27,80,156,51.28%,65,13,78
"Justice, 14th Court of Appeals District, Place 7",0943,164,80,244,547,44.61%,171,62,233
"Justice, 14th Court of Appeals District, Place 7",0944,20,4,24,45,53.33%,20,1,21
"Justice, 14th Court of Appeals District, Place 7",0945,1,2,3,17,17.65%,1,2,3
"Justice, 14th Court of Appeals District, Place 7",0946,0,1,1,13,7.69%,0,1,1
"Justice, 14th Court of Appeals District, Place 7",0947,177,246,423,799,52.94%,230,175,405
"Justice, 14th Court of Appeals District, Place 7",0948,0,14,14,1,1400.00%,9,3,12
"Justice, 14th Court of Appeals District, Place 7",0949,34,27,61,193,31.61%,30,31,61
"Justice, 14th Court of Appeals District, Place 7",0950,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0951,33,30,63,277,22.74%,16,45,61
"Justice, 14th Court of Appeals District, Place 7",0952,16,15,31,71,43.66%,16,12,28
"Justice, 14th Court of Appeals District, Place 7",0953,18,9,27,275,9.82%,5,22,27
"Justice, 14th Court of Appeals District, Place 7",0954,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0955,3,2,5,19,26.32%,4,1,5
"Justice, 14th Court of Appeals District, Place 7",0956,2,4,6,11,54.55%,2,4,6
"Justice, 14th Court of Appeals District, Place 7",0957,97,95,192,562,34.16%,22,168,190
"Justice, 14th Court of Appeals District, Place 7",0958,81,129,210,1081,19.43%,53,152,205
"Justice, 14th Court of Appeals District, Place 7",0959,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0960,196,157,353,976,36.17%,72,270,342
"Justice, 14th Court of Appeals District, Place 7",0961,15,0,16,56,28.57%,0,16,16
"Justice, 14th Court of Appeals District, Place 7",0962,10,17,27,88,30.68%,4,23,27
"Justice, 14th Court of Appeals District, Place 7",0963,54,41,105,426,24.65%,57,44,101
"Justice, 14th Court of Appeals District, Place 7",0964,568,437,1005,2372,42.37%,629,343,972
"Justice, 14th Court of Appeals District, Place 7",0965,31,21,52,343,15.16%,28,24,52
"Justice, 14th Court of Appeals District, Place 7",0966,129,83,212,1148,18.47%,80,126,206
"Justice, 14th Court of Appeals District, Place 7",0967,15,48,63,165,38.18%,18,44,62
"Justice, 14th Court of Appeals District, Place 7",0968,119,30,149,692,21.53%,30,117,147
"Justice, 14th Court of Appeals District, Place 7",0969,156,73,229,604,37.91%,2,225,227
"Justice, 14th Court of Appeals District, Place 7",0970,83,36,119,731,16.28%,17,100,117
"Justice, 14th Court of Appeals District, Place 7",0971,11,8,19,147,12.93%,1,16,17
"Justice, 14th Court of Appeals District, Place 7",09726,8,14,31,45.16%,14,0,14
"Justice, 14th Court of Appeals District, Place 7",0973,24,19,43,111,38.74%,21,18,39
"Justice, 14th Court of Appeals District, Place 7",0974,57,36,93,299,31.10%,59,33,92
"Justice, 14th Court of Appeals District, Place 7",0975,55,30,85,193,44.04%,42,38,80
"Justice, 14th Court of Appeals District, Place 7",0976,58,62,130,683,19.03%,85,44,129
"Justice, 14th Court of Appeals District, Place 7",0977,50,43,93,572,16.26%,43,50,93
"Justice, 14th Court of Appeals District, Place 7",0978,77,79,156,546,28.57%,28,125,153
"Justice, 14th Court of Appeals District, Place 7",0979,2,6,8,27,29.63%,4,3,7
"Justice, 14th Court of Appeals District, Place 7",0980,280,321,601,1389,43.27%,459,118,577
"Justice, 14th Court of Appeals District, Place 7",0981,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0982,312,312,624,1567,39.82%,516,86,602
"Justice, 14th Court of Appeals District, Place 7",0983,11,21,32,161,19.88%,20,12,32
"Justice, 14th Court of Appeals District, Place 7",0984,18,9,27,192,14.06%,4,22,26
"Justice, 14th Court of Appeals District, Place 7",0985,117,63,180,351,51.28%,93,74,167
"Justice, 14th Court of Appeals District, Place 7",0986,43,30,73,463,15.77%,13,59,72
"Justice, 14th Court of Appeals District, Place 7",0987,231,90,321,1155,27.79%,28,285,313
"Justice, 14th Court of Appeals District, Place 7",0988,24,12,36,123,29.27%,33,2,35
"Justice, 14th Court of Appeals District, Place 7",09896,6,12,43,27.91%,8,3,11
"Justice, 14th Court of Appeals District, Place 7",0990,16,1,17,140,12.14%,8,8,16
"Justice, 14th Court of Appeals District, Place 7",0991,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0992,157,107,264,1048,25.19%,147,106,253
"Justice, 14th Court of Appeals District, Place 7",0993,159,101,270,568,47.54%,223,40,263
"Justice, 14th Court of Appeals District, Place 7",0994,5,5,11,25,44.00%,2,9,11
"Justice, 14th Court of Appeals District, Place 7",0995,295,156,452,1393,32.45%,30,414,444
"Justice, 14th Court of Appeals District, Place 7",0996,135,140,275,694,39.53%,154,104,258
"Justice, 14th Court of Appeals District, Place 7",0997,101,163,264,1656,15.94%,60,199,259
"Justice, 14th Court of Appeals District, Place 7",0998,5,1,5,57,10.53%,3,3,6
"Justice, 14th Court of Appeals District, Place 7",0999,17,10,27,68,39.71%,23,3,26
"Justice, 14th Court of Appeals District, Place 7",1000,42,6,45,405,11.85%,12,35,47
"Justice, 14th Court of Appeals District, Place 7",1001,225,136,364,1565,23.26%,97,248,345
"Justice, 14th Court of Appeals District, Place 7",1002,170,139,309,1744,17.72%,55,235,290
"Justice, 14th Court of Appeals District, Place 7",1003,1,0,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 7",1004,111,139,250,654,38.23%,126,106,232
"Justice, 14th Court of Appeals District, Place 7",1005,0,8,8,0,0.00%,3,3,6
"Justice, 14th Court of Appeals District, Place 7",1006,1,0,1,5,20.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 7",1007,205,188,396,1547,25.60%,97,283,380
"Justice, 14th Court of Appeals District, Place 7",1008,32,12,44,151,29.14%,34,9,43
"Justice, 14th Court of Appeals District, Place 7",1009,0,0,0,9,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1010,59,35,94,459,20.48%,17,75,92
"Justice, 14th Court of Appeals District, Place 7",1011,5,1,9,26,34.62%,4,3,7
"Justice, 14th Court of Appeals District, Place 7",1012,134,201,335,1365,24.54%,102,224,326
"Justice, 14th Court of Appeals District, Place 7",1013,0,6,5,58,10.34%,3,3,6
"Justice, 14th Court of Appeals District, Place 7",1014,4,6,10,31,32.26%,1,9,10
"Justice, 14th Court of Appeals District, Place 7",1015,5,4,9,25,36.00%,2,6,8
"Justice, 14th Court of Appeals District, Place 7",1016,252,212,464,1691,27.44%,231,218,449
"Justice, 14th Court of Appeals District, Place 7",1017,51,44,105,330,31.82%,31,72,103
"Justice, 14th Court of Appeals District, Place 7",1018,93,64,157,494,31.78%,72,82,154
"Justice, 14th Court of Appeals District, Place 7",1019,130,107,237,1456,16.28%,12,221,233
"Justice, 14th Court of Appeals District, Place 7",1020,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1021,0,0,0,2,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1022,97,79,176,441,39.91%,131,36,167
"Justice, 14th Court of Appeals District, Place 7",1023,430,315,745,2026,36.77%,539,182,721
"Justice, 14th Court of Appeals District, Place 7",1024,55,61,116,249,46.59%,70,41,111
"Justice, 14th Court of Appeals District, Place 7",1025,0,1,1,14,7.14%,1,0,1
"Justice, 14th Court of Appeals District, Place 7",1026,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1027,1,0,1,8,12.50%,1,0,1
"Justice, 14th Court of Appeals District, Place 7",1028,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1029,537,719,1256,2927,42.91%,1003,212,1215
"Justice, 14th Court of Appeals District, Place 7",1030,231,151,382,785,48.66%,336,38,374
"Justice, 14th Court of Appeals District, Place 7",1031,59,71,130,792,16.41%,34,86,120
"Justice, 14th Court of Appeals District, Place 7",1032,31,25,56,244,22.95%,35,18,53
"Justice, 14th Court of Appeals District, Place 7",1033,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1034,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1035,2,4,6,138,4.35%,1,5,6
"Justice, 14th Court of Appeals District, Place 7",1036,65,24,89,449,19.82%,73,15,88
"Justice, 14th Court of Appeals District, Place 7",1037,19,11,30,76,39.47%,17,10,27
"Justice, 14th Court of Appeals District, Place 7",1038,62,6,68,327,20.80%,9,56,65
"Justice, 14th Court of Appeals District, Place 7",1039,2,0,2,25,8.00%,0,2,2
"Justice, 14th Court of Appeals District, Place 7",1040,91,66,157,771,20.36%,75,76,151
"Justice, 14th Court of Appeals District, Place 7",1041,0,2,2,0,0.00%,1,1,2
"Justice, 14th Court of Appeals District, Place 7",1042,105,67,172,521,33.01%,54,113,167
"Justice, 14th Court of Appeals District, Place 7",1043,5,6,12,33,36.36%,4,8,12
"Justice, 14th Court of Appeals District, Place 7",1044,16,6,22,55,40.00%,7,14,21
"Justice, 14th Court of Appeals District, Place 7",1045,197,173,370,1788,20.69%,51,305,356
"Justice, 14th Court of Appeals District, Place 7",1046,11,5,16,62,25.81%,1,15,16
"Justice, 14th Court of Appeals District, Place 7",1047,255,186,441,1568,28.13%,162,268,430
"Justice, 14th Court of Appeals District, Place 7",1048,1,0,1,17,5.88%,1,0,1
"Justice, 14th Court of Appeals District, Place 7",1049,14,45,59,290,20.34%,20,36,56
"Justice, 14th Court of Appeals District, Place 7",1050,60,63,123,537,22.91%,36,83,119
"Justice, 14th Court of Appeals District, Place 7",1051,0,31,31,0,0.00%,18,11,29
"Justice, 14th Court of Appeals District, Place 7",1052,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1053,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1054,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1055,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1056,4,2,6,8,75.00%,0,5,5
"Justice, 14th Court of Appeals District, Place 7",1057,7,9,16,118,13.56%,2,13,15
"Justice, 14th Court of Appeals District, Place 7",1058,241,285,526,1243,42.32%,104,410,514
"Justice, 14th Court of Appeals District, Place 7",1059,3,3,6,28,21.43%,1,5,6
"Justice, 14th Court of Appeals District, Place 7",1060,5,2,7,42,16.67%,5,2,7
"Justice, 14th Court of Appeals District, Place 7",1061,332,184,516,1716,30.07%,275,225,500
"Justice, 14th Court of Appeals District, Place 7",1062,17,6,23,201,11.44%,4,16,20
"Justice, 14th Court of Appeals District, Place 7",1063,66,59,125,857,14.59%,19,103,122
"Justice, 14th Court of Appeals District, Place 7",1064,25,11,36,119,30.25%,29,7,36
"Justice, 14th Court of Appeals District, Place 7",1065,1,0,1,28,3.57%,0,1,1
"Justice, 14th Court of Appeals District, Place 7",1066,72,0,72,229,31.44%,3,66,69
"Justice, 14th Court of Appeals District, Place 7",1067,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",1068,22,8,30,121,24.79%,12,17,29
"Justice, 14th Court of Appeals District, Place 7",1069,434,256,690,2580,26.74%,319,335,654
"Justice, 14th Court of Appeals District, Place 7",Totals:,378888,308736,687624,2044361,,364169,296289,660458
