Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0973,24,19,43,111,38.74%,21,19,40
"Judge, County Criminal Court No. 7",0974,57,36,93,299,31.10%,58,34,92
"Judge, County Criminal Court No. 7",0975,55,30,85,193,44.04%,38,41,79
"Judge, County Criminal Court No. 7",0976,58,62,130,683,19.03%,82,46,128
"Judge, County Criminal Court No. 7",0977,50,43,93,572,16.26%,37,55,92
"Judge, County Criminal Court No. 7",0978,77,79,156,546,28.57%,27,126,153
"Judge, County Criminal Court No. 7",0979,2,6,8,27,29.63%,4,3,7
"Judge, County Criminal Court No. 7",0980,280,321,601,1389,43.27%,450,121,571
"Judge, County Criminal Court No. 7",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0982,312,312,624,1567,39.82%,511,86,597
"Judge, County Criminal Court No. 7",0983,11,21,32,161,19.88%,20,11,31
"Judge, County Criminal Court No. 7",0984,18,9,27,192,14.06%,4,22,26
"Judge, County Criminal Court No. 7",0985,117,63,180,351,51.28%,100,70,170
"Judge, County Criminal Court No. 7",0986,43,30,73,463,15.77%,12,60,72
"Judge, County Criminal Court No. 7",0987,231,90,321,1155,27.79%,29,287,316
"Judge, County Criminal Court No. 7",0988,24,12,36,123,29.27%,34,2,36
"Judge, County Criminal Court No. 7",0989,e,6,12,43,27.91%,7,5,12
"Judge, County Criminal Court No. 7",0990,16,1,17,140,12.14%,9,7,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0992,157,107,264,1048,25.19%,148,104,252
"Judge, County Criminal Court No. 7",0993,169,101,270,568,47.54%,222,38,260
"Judge, County Criminal Court No. 7",0994,e,5,11,25,44.00%,2,9,11
"Judge, County Criminal Court No. 7",0995,295,156,451,1393,32.38%,28,411,439
"Judge, County Criminal Court No. 7",0996,135,140,275,694,39.63%,157,98,255
"Judge, County Criminal Court No. 7",0997,101,163,264,1656,15.94%,62,198,260
"Judge, County Criminal Court No. 7",0998,5,1,6,57,10.53%,3,3,6
"Judge, County Criminal Court No. 7",0999,17,10,27,68,39.71%,23,3,26
"Judge, County Criminal Court No. 7",1000,42,6,48,405,11.85%,12,35,47
"Judge, County Criminal Court No. 7",1001,228,136,364,1565,23.26%,98,250,348
"Judge, County Criminal Court No. 7",1002,170,139,309,1744,17.72%,58,236,294
"Judge, County Criminal Court No. 7",1003,1,0,1,0,0.00%,1,0,1
"Judge, County Criminal Court No. 7",1004,111,139,250,654,38.23%,125,101,226
"Judge, County Criminal Court No. 7",1005,0,8,8,0,0.00%,4,3,7
"Judge, County Criminal Court No. 7",1006,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No. 7",1007,208,188,396,1547,25.60%,93,288,381
"Judge, County Criminal Court No. 7",1008,32,12,44,151,29.14%,33,8,41
"Judge, County Criminal Court No. 7",1009,0,0,0,9,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1010,59,35,94,459,20.48%,17,75,92
"Judge, County Criminal Court No. 7",1011,8,1,9,26,34.62%,5,3,8
"Judge, County Criminal Court No. 7",1012,134,201,335,1365,24.54%,98,230,328
"Judge, County Criminal Court No. 7",1013,0,6,6,58,10.34%,3,3,6
"Judge, County Criminal Court No. 7",1014,4,6,10,31,32.26%,1,9,10
"Judge, County Criminal Court No. 7",1015,5,4,9,25,36.00%,2,6,8
"Judge, County Criminal Court No. 7",1016,252,212,464,1691,27.44%,234,213,447
"Judge, County Criminal Court No. 7",1017,51,44,105,330,31.82%,32,71,103
"Judge, County Criminal Court No. 7",1018,93,64,157,494,31.78%,68,85,153
"Judge, County Criminal Court No. 7",1019,130,107,237,1456,16.28%,12,222,234
"Judge, County Criminal Court No. 7",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1021,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1022,97,79,176,441,39.91%,132,34,166
"Judge, County Criminal Court No. 7",1023,430,315,745,2026,36.77%,532,183,715
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",1024,55,61,116,249,46.59%,62,44,106
"Judge, County Criminal Court No. 7",1025,0,1,1,14,7.14%,1,0,1
"Judge, County Criminal Court No. 7",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1027,1,0,1,8,12.50%,1,0,1
"Judge, County Criminal Court No. 7",1028,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1029,537,719,1256,2927,42.91%,998,205,1203
"Judge, County Criminal Court No. 7",1030,231,151,382,785,48.66%,336,40,376
"Judge, County Criminal Court No. 7",1031,59,71,130,792,16.41%,34,88,122
"Judge, County Criminal Court No. 7",1032,31,25,56,244,22.95%,34,18,52
"Judge, County Criminal Court No. 7",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1034,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1035,2,4,6,138,4.35%,1,4,5
"Judge, County Criminal Court No. 7",1036,65,24,89,449,19.82%,73,15,88
"Judge, County Criminal Court No. 7",1037,19,11,30,76,39.47%,17,9,26
"Judge, County Criminal Court No. 7",1038,62,6,68,327,20.80%,9,55,64
"Judge, County Criminal Court No. 7",1039,2,0,2,25,8.00%,0,2,2
"Judge, County Criminal Court No. 7",1040,91,66,157,771,20.36%,72,77,149
"Judge, County Criminal Court No. 7",1041,0,2,2,0,0.00%,1,1,2
"Judge, County Criminal Court No. 7",1042,105,67,172,521,33.01%,52,111,163
"Judge, County Criminal Court No. 7",1043,6,6,12,33,36.36%,4,8,12
"Judge, County Criminal Court No. 7",1044,16,6,22,55,40.00%,7,14,21
"Judge, County Criminal Court No. 7",1045,197,173,370,1788,20.69%,53,303,356
"Judge, County Criminal Court No. 7",1046,11,5,16,62,25.81%,1,15,16
"Judge, County Criminal Court No. 7",1047,255,186,441,1568,28.13%,161,268,429
"Judge, County Criminal Court No. 7",1048,1,0,1,17,5.88%,1,0,1
"Judge, County Criminal Court No. 7",1049,14,45,59,290,20.34%,20,37,57
"Judge, County Criminal Court No. 7",1050,60,63,123,537,22.91%,34,85,119
"Judge, County Criminal Court No. 7",1051,0,31,31,0,0.00%,19,11,30
"Judge, County Criminal Court No. 7",1052,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1053,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1054,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1055,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1056,4,2,6,8,75.00%,1,5,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",1057,7,9,16,118,13.56%,3,12,15
"Judge, County Criminal Court No. 7",1058,241,285,526,1243,42.32%,99,412,511
"Judge, County Criminal Court No. 7",1059,3,3,6,28,21.43%,1,5,6
"Judge, County Criminal Court No. 7",1060,5,2,7,42,16.67%,5,2,7
"Judge, County Criminal Court No. 7",1061,332,184,516,1716,30.07%,276,218,494
"Judge, County Criminal Court No. 7",1062,17,6,23,201,11.44%,4,16,20
"Judge, County Criminal Court No. 7",1063,66,59,125,857,14.59%,18,102,120
"Judge, County Criminal Court No. 7",1064,25,11,36,119,30.25%,29,7,36
"Judge, County Criminal Court No. 7",1065,1,0,1,28,3.57%,0,1,1
"Judge, County Criminal Court No. 7",1066,72,0,72,229,31.44%,2,66,68
"Judge, County Criminal Court No. 7",1067,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",1068,22,8,30,121,24.79%,13,16,29
"Judge, County Criminal Court No. 7",1069,434,256,690,2580,26.74%,318,328,646
"Judge, County Criminal Court No. 7",Totals:,378846,308736,687582,2044361,359970,295410,655380
