Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,"DEM Debra ""Debby"" Kerner",Totals
"County School Trustee, Position 5, At Large",1031,59,71,130,792,16.41%,36,88,124
"County School Trustee, Position 5, At Large",1032,31,25,56,244,22.95%,33,18,51
"County School Trustee, Position 5, At Large",1033,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1034,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1035,2,4,6,138,4.35%,1,4,5
"County School Trustee, Position 5, At Large",1036,65,24,89,449,19.82%,73,15,88
"County School Trustee, Position 5, At Large",1037,19,11,30,76,39.47%,17,11,28
"County School Trustee, Position 5, At Large",1038,62,6,68,327,20.80%,9,57,66
"County School Trustee, Position 5, At Large",1039,2,0,2,25,8.00%,0,2,2
"County School Trustee, Position 5, At Large",1040,91,66,157,771,20.36%,70,80,150
"County School Trustee, Position 5, At Large",1041,0,2,2,0,0.00%,1,1,2
"County School Trustee, Position 5, At Large",1042,105,67,172,521,33.01%,53,111,164
"County School Trustee, Position 5, At Large",1043,5,6,12,33,36.36%,4,8,12
"County School Trustee, Position 5, At Large",1044,16,6,22,55,40.00%,7,14,21
"County School Trustee, Position 5, At Large",1045,197,173,370,1788,20.69%,50,307,357
"County School Trustee, Position 5, At Large",1046,11,5,16,62,25.81%,1,15,16
"County School Trustee, Position 5, At Large",1047,255,186,441,1568,28.13%,156,273,429
"County School Trustee, Position 5, At Large",1048,1,0,1,17,5.88%,1,0,1
"County School Trustee, Position 5, At Large",1049,14,45,59,290,20.34%,20,37,57
"County School Trustee, Position 5, At Large",1050,60,63,123,537,22.91%,31,87,118
"County School Trustee, Position 5, At Large",1051,0,31,31,0,0.00%,18,11,29
"County School Trustee, Position 5, At Large",1052,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1053,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1054,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1055,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1056,4,2,6,8,75.00%,0,6,6
"County School Trustee, Position 5, At Large",1057,7,9,16,118,13.56%,3,12,15
"County School Trustee, Position 5, At Large",1058,241,285,526,1243,42.32%,104,409,513
"County School Trustee, Position 5, At Large",1059,3,3,6,28,21.43%,1,5,6
"County School Trustee, Position 5, At Large",1060,5,2,7,42,16.67%,5,2,7
"County School Trustee, Position 5, At Large",1061,332,184,516,1716,30.07%,276,218,494
"County School Trustee, Position 5, At Large",1062,17,6,23,201,11.44%,3,17,20
"County School Trustee, Position 5, At Large",1063,66,59,125,857,14.59%,18,102,120
"County School Trustee, Position 5, At Large",1064,25,11,36,119,30.25%,27,9,36
"County School Trustee, Position 5, At Large",1065,1,0,1,28,3.57%,0,1,1
"County School Trustee, Position 5, At Large",1066,72,0,72,229,31.44%,3,65,68
"County School Trustee, Position 5, At Large",1067,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",1068,22,8,30,121,24.79%,12,17,29
"County School Trustee, Position 5, At Large",1069,434,256,690,2580,26.74%,310,337,647
"County School Trustee, Position 5, At Large",Totals:,378846,308736,687582,2044361,,349922,308418,658340
