Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0869,53,39,92,470,19.57%,25,64,89
"Justice, 1st Court of Appeals District, Place 3",0870,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0871,1,0,1,3,33.33%,0,1,1
"Justice, 1st Court of Appeals District, Place 3",0872,5,3,8,59,13.56%,4,4,8
"Justice, 1st Court of Appeals District, Place 3",0873,98,75,173,737,23.47%,41,128,169
"Justice, 1st Court of Appeals District, Place 3",0874,763,707,1470,3223,45.61%,1107,316,1423
"Justice, 1st Court of Appeals District, Place 3",0875,905,527,1432,5147,27.82%,701,689,1390
"Justice, 1st Court of Appeals District, Place 3",0876,698,641,1339,3265,41.01%,1034,272,1306
"Justice, 1st Court of Appeals District, Place 3",0877,476,382,858,3032,28.30%,349,491,840
"Justice, 1st Court of Appeals District, Place 3",0878,427,354,781,1666,46.88%,651,110,761
"Justice, 1st Court of Appeals District, Place 3",0879,407,294,701,2667,26.28%,359,315,674
"Justice, 1st Court of Appeals District, Place 3",0880,543,447,990,2352,42.09%,804,154,958
"Justice, 1st Court of Appeals District, Place 3",0881,594,540,1134,4479,25.32%,395,718,1113
"Justice, 1st Court of Appeals District, Place 3",0882,426,291,717,2422,29.60%,434,262,696
"Justice, 1st Court of Appeals District, Place 3",0883,643,702,1345,5408,24.87%,244,1067,1311
"Justice, 1st Court of Appeals District, Place 3",0884,57,25,82,377,21.75%,9,71,80
"Justice, 1st Court of Appeals District, Place 3",0885,552,368,930,2619,35.51%,545,369,914
"Justice, 1st Court of Appeals District, Place 3",0886,128,108,236,675,34.96%,132,92,224
"Justice, 1st Court of Appeals District, Place 3",0887,50,67,117,418,27.99%,57,51,108
"Justice, 1st Court of Appeals District, Place 3",0888,0,3,3,0,0.00%,2,1,3
"Justice, 1st Court of Appeals District, Place 3",0889,14,0,14,57,24.56%,5,8,13
"Justice, 1st Court of Appeals District, Place 3",0890,164,103,267,1095,24.38%,86,163,249
"Justice, 1st Court of Appeals District, Place 3",0891,317,243,560,1331,42.07%,212,317,529
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0892,115,86,201,808,24.88%,71,120,191
"Justice, 1st Court of Appeals District, Place 3",0893,0,2,2,6,33.33%,0,2,2
"Justice, 1st Court of Appeals District, Place 3",0894,0,3,3,0,0.00%,2,1,3
"Justice, 1st Court of Appeals District, Place 3",0895,156,286,442,793,55.74%,178,229,407
"Justice, 1st Court of Appeals District, Place 3",0896,370,297,667,1459,45.72%,254,373,627
"Justice, 1st Court of Appeals District, Place 3",0897,252,297,549,1701,32.28%,319,215,534
"Justice, 1st Court of Appeals District, Place 3",0898,0,0,0,3,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0899,2,0,2,8,25.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 3",0900,0,2,2,10,20.00%,1,1,2
"Justice, 1st Court of Appeals District, Place 3",0901,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0902,394,486,880,2139,41.14%,484,353,837
"Justice, 1st Court of Appeals District, Place 3",0903,3,7,10,50,20.00%,2,7,9
"Justice, 1st Court of Appeals District, Place 3",0904,1,0,1,7,14.29%,1,0,1
"Justice, 1st Court of Appeals District, Place 3",0905,123,100,223,904,24.67%,98,114,212
"Justice, 1st Court of Appeals District, Place 3",0906,8,6,14,25,56.00%,8,5,13
"Justice, 1st Court of Appeals District, Place 3",0907,12,19,31,181,17.13%,6,25,31
"Justice, 1st Court of Appeals District, Place 3",0908,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 3",0909,2,1,3,18,16.67%,0,3,3
"Justice, 1st Court of Appeals District, Place 3",0910,25,24,49,217,22.58%,20,24,44
"Justice, 1st Court of Appeals District, Place 3",0911,118,60,178,551,32.30%,119,54,173
"Justice, 1st Court of Appeals District, Place 3",0912,316,201,517,1273,40.61%,334,159,493
"Justice, 1st Court of Appeals District, Place 3",0913,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0914,169,179,348,701,49.64%,281,56,337
"Justice, 1st Court of Appeals District, Place 3",0915,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0916,417,240,657,1491,44.06%,526,111,637
"Justice, 1st Court of Appeals District, Place 3",0917,177,62,239,483,49.48%,156,70,226
"Justice, 1st Court of Appeals District, Place 3",0918,304,168,472,883,53.45%,369,85,454
"Justice, 1st Court of Appeals District, Place 3",0919,0,0,0,3,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0920,22,12,34,71,47.89%,24,9,33
"Justice, 1st Court of Appeals District, Place 3",0921,32,15,47,119,39.50%,34,13,47
"Justice, 1st Court of Appeals District, Place 3",0922,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0923,470,137,607,1511,40.17%,456,136,592
"Justice, 1st Court of Appeals District, Place 3",0924,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0925,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0926,171,128,299,796,37.56%,225,67,292
"Justice, 1st Court of Appeals District, Place 3",0927,44,30,74,270,27.41%,29,39,68
"Justice, 1st Court of Appeals District, Place 3",0928,3,0,3,8,37.50%,0,3,3
"Justice, 1st Court of Appeals District, Place 3",0929,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0930,109,54,163,584,27.91%,5,157,162
"Justice, 1st Court of Appeals District, Place 3",0931,30,40,70,130,53.85%,39,24,63
"Justice, 1st Court of Appeals District, Place 3",0932,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0933,115,85,200,627,31.90%,60,134,194
"Justice, 1st Court of Appeals District, Place 3",0934,2,0,2,63,3.17%,1,1,2
"Justice, 1st Court of Appeals District, Place 3",0935,3,2,5,54,9.26%,3,1,4
"Justice, 1st Court of Appeals District, Place 3",0936,s,2,10,81,12.35%,3,6,9
"Justice, 1st Court of Appeals District, Place 3",0937,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0938,30,14,44,231,19.05%,16,27,43
"Justice, 1st Court of Appeals District, Place 3",0939,0,0,0,2,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0940,0,0,0,10,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0941,9,10,19,25,76.00%,18,0,18
"Justice, 1st Court of Appeals District, Place 3",0942,53,27,80,156,51.28%,66,12,78
"Justice, 1st Court of Appeals District, Place 3",0943,164,80,244,547,44.61%,170,60,230
"Justice, 1st Court of Appeals District, Place 3",0944,20,4,24,45,53.33%,19,0,19
"Justice, 1st Court of Appeals District, Place 3",0945,1,2,3,17,17.65%,0,2,2
"Justice, 1st Court of Appeals District, Place 3",0946,0,1,1,13,7.69%,0,1,1
"Justice, 1st Court of Appeals District, Place 3",0947,177,246,423,799,52.94%,228,180,408
"Justice, 1st Court of Appeals District, Place 3",0948,0,14,14,1,1400.00%,9,3,12
"Justice, 1st Court of Appeals District, Place 3",0949,34,27,61,193,31.61%,32,29,61
"Justice, 1st Court of Appeals District, Place 3",0950,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0951,33,30,63,277,22.74%,16,45,61
"Justice, 1st Court of Appeals District, Place 3",0952,16,15,31,71,43.66%,16,13,29
"Justice, 1st Court of Appeals District, Place 3",0953,18,9,27,275,9.82%,4,23,27
"Justice, 1st Court of Appeals District, Place 3",0954,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0955,3,2,5,19,26.32%,4,1,5
"Justice, 1st Court of Appeals District, Place 3",0956,2,4,6,11,54.55%,1,4,5
"Justice, 1st Court of Appeals District, Place 3",0957,97,95,192,562,34.16%,24,167,191
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0958,81,129,210,1081,19.43%,53,152,205
"Justice, 1st Court of Appeals District, Place 3",0959,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0960,196,157,353,976,36.17%,71,271,342
"Justice, 1st Court of Appeals District, Place 3",0961,15,0,16,56,28.57%,0,16,16
"Justice, 1st Court of Appeals District, Place 3",0962,10,17,27,88,30.68%,4,23,27
"Justice, 1st Court of Appeals District, Place 3",0963,54,41,105,426,24.65%,58,43,101
"Justice, 1st Court of Appeals District, Place 3",0964,568,437,1005,2372,42.37%,623,351,974
"Justice, 1st Court of Appeals District, Place 3",0965,31,21,52,343,15.16%,27,25,52
"Justice, 1st Court of Appeals District, Place 3",0966,129,83,212,1148,18.47%,78,129,207
"Justice, 1st Court of Appeals District, Place 3",0967,15,48,63,165,38.18%,19,43,62
"Justice, 1st Court of Appeals District, Place 3",0968,119,30,149,692,21.53%,29,119,148
"Justice, 1st Court of Appeals District, Place 3",0969,156,73,229,604,37.91%,1,226,227
"Justice, 1st Court of Appeals District, Place 3",0970,83,36,119,731,16.28%,16,100,116
"Justice, 1st Court of Appeals District, Place 3",0971,11,8,19,147,12.93%,2,15,17
"Justice, 1st Court of Appeals District, Place 3",0972,e,8,14,31,45.16%,14,0,14
"Justice, 1st Court of Appeals District, Place 3",0973,24,19,43,111,38.74%,20,20,40
"Justice, 1st Court of Appeals District, Place 3",0974,57,36,93,299,31.10%,59,34,93
"Justice, 1st Court of Appeals District, Place 3",0975,55,30,85,193,44.04%,42,39,81
"Justice, 1st Court of Appeals District, Place 3",0976,58,62,130,683,19.03%,84,44,128
"Justice, 1st Court of Appeals District, Place 3",0977,50,43,93,572,16.26%,43,50,93
"Justice, 1st Court of Appeals District, Place 3",0978,77,79,156,546,28.57%,28,125,153
"Justice, 1st Court of Appeals District, Place 3",0979,2,6,8,27,29.63%,4,3,7
"Justice, 1st Court of Appeals District, Place 3",0980,280,321,601,1389,43.27%,453,121,574
"Justice, 1st Court of Appeals District, Place 3",0981,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0982,312,312,624,1567,39.82%,521,84,605
"Justice, 1st Court of Appeals District, Place 3",0983,11,21,32,161,19.88%,21,11,32
"Justice, 1st Court of Appeals District, Place 3",0984,18,9,27,192,14.06%,4,22,26
"Justice, 1st Court of Appeals District, Place 3",0985,117,63,180,351,51.28%,92,77,169
"Justice, 1st Court of Appeals District, Place 3",0986,43,30,73,463,15.77%,12,60,72
"Justice, 1st Court of Appeals District, Place 3",0987,231,90,321,1155,27.79%,28,287,315
"Justice, 1st Court of Appeals District, Place 3",0988,24,12,36,123,29.27%,34,2,36
"Justice, 1st Court of Appeals District, Place 3",0989,e,6,12,43,27.91%,9,3,12
"Justice, 1st Court of Appeals District, Place 3",0990,16,1,17,140,12.14%,9,7,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0991,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0992,157,107,264,1048,25.19%,144,111,255
"Justice, 1st Court of Appeals District, Place 3",0993,169,101,270,568,47.54%,221,41,262
"Justice, 1st Court of Appeals District, Place 3",0994,e,5,11,25,44.00%,2,9,11
"Justice, 1st Court of Appeals District, Place 3",0995,296,156,452,1393,32.45%,30,414,444
"Justice, 1st Court of Appeals District, Place 3",0996,135,140,275,694,39.63%,149,106,255
"Justice, 1st Court of Appeals District, Place 3",0997,101,163,264,1656,15.94%,62,199,261
"Justice, 1st Court of Appeals District, Place 3",0998,5,1,6,57,10.53%,3,3,6
"Justice, 1st Court of Appeals District, Place 3",0999,17,10,27,68,39.71%,23,3,26
"Justice, 1st Court of Appeals District, Place 3",1000,42,6,48,405,11.85%,13,34,47
"Justice, 1st Court of Appeals District, Place 3",1001,228,136,364,1565,23.26%,95,248,343
"Justice, 1st Court of Appeals District, Place 3",1002,170,139,309,1744,17.72%,54,237,291
"Justice, 1st Court of Appeals District, Place 3",1003,1,0,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 3",1004,111,139,250,654,38.23%,123,110,233
"Justice, 1st Court of Appeals District, Place 3",1005,0,8,8,0,0.00%,5,2,7
"Justice, 1st Court of Appeals District, Place 3",1006,1,0,1,5,20.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 3",1007,208,188,396,1547,25.60%,94,288,382
"Justice, 1st Court of Appeals District, Place 3",1008,32,12,44,151,29.14%,34,9,43
"Justice, 1st Court of Appeals District, Place 3",1009,0,0,0,9,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1010,59,35,94,459,20.48%,16,76,92
"Justice, 1st Court of Appeals District, Place 3",1011,8,1,9,26,34.62%,5,3,8
"Justice, 1st Court of Appeals District, Place 3",1012,134,201,335,1365,24.54%,98,229,327
"Justice, 1st Court of Appeals District, Place 3",1013,0,6,6,58,10.34%,4,2,6
"Justice, 1st Court of Appeals District, Place 3",1014,4,6,10,31,32.26%,1,9,10
"Justice, 1st Court of Appeals District, Place 3",1015,5,4,9,25,36.00%,2,6,8
"Justice, 1st Court of Appeals District, Place 3",1016,252,212,464,1691,27.44%,231,218,449
"Justice, 1st Court of Appeals District, Place 3",1017,61,44,105,330,31.82%,31,72,103
"Justice, 1st Court of Appeals District, Place 3",1018,93,64,157,494,31.78%,73,81,154
"Justice, 1st Court of Appeals District, Place 3",1019,130,107,237,1456,16.28%,11,223,234
"Justice, 1st Court of Appeals District, Place 3",1020,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1021,0,0,0,2,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1022,97,79,176,441,39.91%,129,38,167
"Justice, 1st Court of Appeals District, Place 3",1023,430,315,745,2026,36.77%,525,194,719
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",1024,55,61,116,249,46.59%,62,49,111
"Justice, 1st Court of Appeals District, Place 3",1025,0,1,1,14,7.14%,1,0,1
"Justice, 1st Court of Appeals District, Place 3",1026,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1027,1,0,1,8,12.50%,0,1,1
"Justice, 1st Court of Appeals District, Place 3",1028,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1029,537,719,1256,2927,42.91%,1003,217,1220
"Justice, 1st Court of Appeals District, Place 3",1030,231,151,382,785,48.66%,338,36,374
"Justice, 1st Court of Appeals District, Place 3",1031,59,71,130,792,16.41%,36,85,121
"Justice, 1st Court of Appeals District, Place 3",1032,31,25,56,244,22.95%,35,18,53
"Justice, 1st Court of Appeals District, Place 3",1033,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1034,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1035,2,4,6,138,4.35%,2,4,6
"Justice, 1st Court of Appeals District, Place 3",1036,65,24,89,449,19.82%,73,15,88
"Justice, 1st Court of Appeals District, Place 3",1037,19,11,30,76,39.47%,17,10,27
"Justice, 1st Court of Appeals District, Place 3",1038,62,6,68,327,20.80%,9,57,66
"Justice, 1st Court of Appeals District, Place 3",1039,2,0,2,25,8.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 3",1040,91,66,157,771,20.36%,73,79,152
"Justice, 1st Court of Appeals District, Place 3",1041,0,2,2,0,0.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 3",1042,105,67,172,521,33.01%,52,114,166
"Justice, 1st Court of Appeals District, Place 3",1043,5,6,12,33,36.36%,4,8,12
"Justice, 1st Court of Appeals District, Place 3",1044,16,6,22,55,40.00%,7,14,21
"Justice, 1st Court of Appeals District, Place 3",1045,197,173,370,1788,20.69%,52,303,355
"Justice, 1st Court of Appeals District, Place 3",1046,11,5,16,62,25.81%,1,15,16
"Justice, 1st Court of Appeals District, Place 3",1047,255,186,441,1568,28.13%,161,270,431
"Justice, 1st Court of Appeals District, Place 3",1048,1,0,1,17,5.88%,1,0,1
"Justice, 1st Court of Appeals District, Place 3",1049,14,45,59,290,20.34%,19,36,55
"Justice, 1st Court of Appeals District, Place 3",1050,60,63,123,537,22.91%,35,83,118
"Justice, 1st Court of Appeals District, Place 3",1051,0,31,31,0,0.00%,17,13,30
"Justice, 1st Court of Appeals District, Place 3",1052,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1053,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1054,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1055,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1056,4,2,6,8,75.00%,1,4,5
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",1057,7,9,16,118,13.56%,3,12,15
"Justice, 1st Court of Appeals District, Place 3",1058,241,285,526,1243,42.32%,107,407,514
"Justice, 1st Court of Appeals District, Place 3",1059,3,3,6,28,21.43%,1,5,6
"Justice, 1st Court of Appeals District, Place 3",1060,5,2,7,42,16.67%,5,2,7
"Justice, 1st Court of Appeals District, Place 3",1061,332,184,516,1716,30.07%,280,221,501
"Justice, 1st Court of Appeals District, Place 3",1062,17,6,23,201,11.44%,4,17,21
"Justice, 1st Court of Appeals District, Place 3",1063,66,59,125,857,14.59%,19,103,122
"Justice, 1st Court of Appeals District, Place 3",1064,25,11,36,119,30.25%,28,8,36
"Justice, 1st Court of Appeals District, Place 3",1065,1,0,1,28,3.57%,0,1,1
"Justice, 1st Court of Appeals District, Place 3",1066,72,0,72,229,31.44%,3,67,70
"Justice, 1st Court of Appeals District, Place 3",1067,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",1068,22,8,30,121,24.79%,10,17,27
"Justice, 1st Court of Appeals District, Place 3",1069,434,256,690,2580,26.74%,314,346,660
"Justice, 1st Court of Appeals District, Place 3",Totals:,378888,308736,687624,2044361,358211,304132,662343
