Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",1024,55,61,116,249,46.59%,65,42,107
"District Judge, 269th Judicial District",1025,0,1,1,14,7.14%,1,0,1
"District Judge, 269th Judicial District",1026,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",1027,1,0,1,8,12.50%,1,0,1
"District Judge, 269th Judicial District",1028,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",1029,537,719,1256,2927,42.91%,996,210,1206
"District Judge, 269th Judicial District",1030,231,151,382,785,48.66%,335,39,374
"District Judge, 269th Judicial District",1031,59,71,130,792,16.41%,34,86,120
"District Judge, 269th Judicial District",1032,31,25,56,244,22.95%,35,17,52
"District Judge, 269th Judicial District",1033,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",1034,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",1035,2,4,6,138,4.35%,2,4,6
"District Judge, 269th Judicial District",1036,65,24,89,449,19.82%,75,13,88
"District Judge, 269th Judicial District",1037,19,11,30,76,39.47%,17,10,27
"District Judge, 269th Judicial District",1038,62,6,68,327,20.80%,9,56,65
"District Judge, 269th Judicial District",1039,2,0,2,25,8.00%,0,2,2
"District Judge, 269th Judicial District",1040,91,66,157,771,20.36%,75,76,151
"District Judge, 269th Judicial District",1041,0,2,2,0,0.00%,0,2,2
"District Judge, 269th Judicial District",1042,105,67,172,521,33.01%,51,113,164
"District Judge, 269th Judicial District",1043,5,6,12,33,36.36%,4,8,12
"District Judge, 269th Judicial District",1044,16,6,22,55,40.00%,7,14,21
"District Judge, 269th Judicial District",1045,197,173,370,1788,20.69%,52,304,356
"District Judge, 269th Judicial District",1046,11,5,16,62,25.81%,1,15,16
"District Judge, 269th Judicial District",1047,255,186,441,1568,28.13%,156,271,427
"District Judge, 269th Judicial District",1048,1,0,1,17,5.88%,1,0,1
"District Judge, 269th Judicial District",1049,14,45,59,290,20.34%,21,36,57
"District Judge, 269th Judicial District",1050,60,63,123,537,22.91%,33,85,118
"District Judge, 269th Judicial District",1051,0,31,31,0,0.00%,18,11,29
"District Judge, 269th Judicial District",1052,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",1053,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",1054,0,0,0,1,0.00%,0,0,0
"District Judge, 269th Judicial District",1055,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",1056,4,2,6,8,75.00%,0,5,5
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",1057,7,9,16,118,13.56%,2,13,15
"District Judge, 269th Judicial District",1058,241,285,526,1243,42.32%,103,411,514
"District Judge, 269th Judicial District",1059,3,3,6,28,21.43%,1,5,6
"District Judge, 269th Judicial District",1060,5,2,7,42,16.67%,5,2,7
"District Judge, 269th Judicial District",1061,332,184,516,1716,30.07%,276,220,496
"District Judge, 269th Judicial District",1062,17,6,23,201,11.44%,4,16,20
"District Judge, 269th Judicial District",1063,66,59,125,857,14.59%,18,104,122
"District Judge, 269th Judicial District",1064,25,11,36,119,30.25%,28,8,36
"District Judge, 269th Judicial District",1065,1,0,1,28,3.57%,0,1,1
"District Judge, 269th Judicial District",1066,72,0,72,229,31.44%,3,67,70
"District Judge, 269th Judicial District",1067,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",1068,22,8,30,121,24.79%,12,17,29
"District Judge, 269th Judicial District",1069,434,256,690,2580,26.74%,320,327,647
"District Judge, 269th Judicial District",Totals:,378846,308736,687582,2044361,,359370,296922,656292
