Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0976,68,62,130,683,19.03%,82,40,6,1,129
Commissioner of Agriculture,0977,50,43,93,572,16.26%,39,50,2,2,93
Commissioner of Agriculture,0978,77,79,156,546,28.57%,27,123,1,4,155
Commissioner of Agriculture,0979,2,6,8,27,29.63%,4,4,0,0,8
Commissioner of Agriculture,0980,280,321,601,1389,43.27%,449,119,8,2,578
Commissioner of Agriculture,0981,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0982,312,312,624,1567,39.82%,506,84,12,8,610
Commissioner of Agriculture,0983,12,21,33,161,20.50%,18,11,3,0,32
Commissioner of Agriculture,0984,18,9,27,192,14.06%,4,22,0,0,26
Commissioner of Agriculture,0985,117,63,180,351,51.28%,82,80,6,5,173
Commissioner of Agriculture,0986,43,30,73,463,15.77%,11,59,2,0,72
Commissioner of Agriculture,0987,231,90,321,1155,27.79%,26,284,3,2,315
Commissioner of Agriculture,0988,24,12,36,123,29.27%,34,2,0,0,36
Commissioner of Agriculture,0989,6,6,12,43,27.91%,7,4,1,0,12
Commissioner of Agriculture,0990,16,1,17,140,12.14%,7,9,0,0,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0991,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of Agriculture,0992,157,107,264,1048,25.19%,140,103,10,3,256
Commissioner of Agriculture,0993,159,101,270,568,47.54%,216,39,7,2,264
Commissioner of Agriculture,0994,e,5,11,25,44.00%,2,8,0,0,10
Commissioner of Agriculture,0995,296,156,452,1393,32.45%,24,414,6,0,444
Commissioner of Agriculture,0996,136,140,276,694,39.77%,153,97,10,6,266
Commissioner of Agriculture,0997,101,163,264,1656,15.94%,56,199,5,3,263
Commissioner of Agriculture,0998,5,1,6,57,10.53%,3,3,0,0,6
Commissioner of Agriculture,0999,17,10,27,68,39.71%,23,3,1,0,27
Commissioner of Agriculture,1000,42,6,48,405,11.85%,12,34,0,1,47
Commissioner of Agriculture,1001,228,136,364,1565,23.26%,88,253,4,4,349
Commissioner of Agriculture,1002,170,139,309,1744,17.72%,54,224,8,7,293
Commissioner of Agriculture,1003,1,0,1,0,0.00%,1,0,0,0,1
Commissioner of Agriculture,1004,111,139,250,654,38.23%,111,107,12,8,238
Commissioner of Agriculture,1005,0,8,8,0,0.00%,4,3,1,0,8
Commissioner of Agriculture,1006,1,0,1,5,20.00%,1,0,0,0,1
Commissioner of Agriculture,1007,208,188,396,1547,25.60%,91,278,8,6,383
Commissioner of Agriculture,1008,32,12,44,151,29.14%,33,10,0,0,43
Commissioner of Agriculture,1009,0,0,0,9,0.00%,0,0,0,0,0
Commissioner of Agriculture,1010,59,35,94,459,20.48%,16,75,2,0,93
Commissioner of Agriculture,1011,8,1,9,26,34.62%,5,3,0,0,8
Commissioner of Agriculture,1012,134,201,335,1365,24.54%,102,219,1,3,325
Commissioner of Agriculture,1013,0,6,6,58,10.34%,3,2,1,0,6
Commissioner of Agriculture,1014,4,6,10,31,32.26%,1,9,0,0,10
Commissioner of Agriculture,1015,5,4,9,25,36.00%,2,6,0,0,8
Commissioner of Agriculture,1016,252,212,464,1691,27.44%,221,217,13,3,454
Commissioner of Agriculture,1017,61,44,105,330,31.82%,29,72,3,0,104
Commissioner of Agriculture,1018,93,64,157,494,31.78%,71,80,2,0,153
Commissioner of Agriculture,1019,130,107,237,1456,16.28%,8,221,3,2,234
Commissioner of Agriculture,1020,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of Agriculture,1021,0,0,0,2,0.00%,0,0,0,0,0
Commissioner of Agriculture,1022,97,79,176,441,39.91%,132,29,5,1,167
Commissioner of Agriculture,1023,430,315,745,2026,36.77%,519,189,13,7,728
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,1024,55,61,116,249,46.59%,61,43,4,3,111
Commissioner of Agriculture,1025,0,1,1,14,7.14%,1,0,0,0,1
Commissioner of Agriculture,1026,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,1027,1,0,1,8,12.50%,0,1,0,0,1
Commissioner of Agriculture,1028,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,1029,538,719,1257,2927,42.94%,986,209,17,12,1224
Commissioner of Agriculture,1030,231,151,382,785,48.66%,332,37,6,2,377
Commissioner of Agriculture,1031,59,71,130,792,16.41%,37,81,2,4,124
Commissioner of Agriculture,1032,31,25,56,244,22.95%,36,16,0,1,53
Commissioner of Agriculture,1033,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,1034,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,1035,2,4,6,138,4.35%,1,5,0,0,6
Commissioner of Agriculture,1036,55,24,89,449,19.82%,73,14,1,0,88
Commissioner of Agriculture,1037,19,11,30,76,39.47%,19,9,1,0,29
Commissioner of Agriculture,1038,52,6,68,327,20.80%,9,58,1,0,68
Commissioner of Agriculture,1039,2,0,2,25,8.00%,0,2,0,0,2
Commissioner of Agriculture,1040,91,66,157,771,20.36%,72,72,7,3,154
Commissioner of Agriculture,1041,0,2,2,0,0.00%,1,1,0,0,2
Commissioner of Agriculture,1042,105,67,172,521,33.01%,52,111,3,4,170
Commissioner of Agriculture,1043,6,e,12,33,36.36%,4,8,0,0,12
Commissioner of Agriculture,1044,15,6,22,55,40.00%,7,14,0,0,21
Commissioner of Agriculture,1045,197,173,370,1788,20.69%,45,302,4,5,356
Commissioner of Agriculture,1046,11,5,16,62,25.81%,1,15,0,0,16
Commissioner of Agriculture,1047,255,186,441,1568,28.13%,156,257,13,9,435
Commissioner of Agriculture,1048,1,0,1,17,5.88%,1,0,0,0,1
Commissioner of Agriculture,1049,14,45,59,290,20.34%,18,34,3,1,56
Commissioner of Agriculture,1050,60,63,123,537,22.91%,34,85,0,0,119
Commissioner of Agriculture,1051,0,31,31,0,0.00%,17,10,2,2,31
Commissioner of Agriculture,1052,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,1053,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,1054,0,0,0,1,0.00%,0,0,0,0,0
Commissioner of Agriculture,1055,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,1056,4,2,6,8,75.00%,2,3,0,0,5
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,1057,7,9,16,118,13.56%,2,12,0,1,15
Commissioner of Agriculture,1058,241,285,526,1243,42.32%,100,407,4,6,517
Commissioner of Agriculture,1059,3,3,6,28,21.43%,1,4,1,0,6
Commissioner of Agriculture,1060,5,2,7,42,16.67%,5,2,0,0,7
Commissioner of Agriculture,1061,332,184,516,1716,30.07%,261,216,15,11,503
Commissioner of Agriculture,1062,17,6,23,201,11.44%,4,18,0,0,22
Commissioner of Agriculture,1063,66,59,125,857,14.59%,17,102,3,0,122
Commissioner of Agriculture,1064,25,11,36,119,30.25%,27,8,0,1,36
Commissioner of Agriculture,1065,1,0,1,28,3.57%,0,1,0,0,1
Commissioner of Agriculture,1066,72,0,72,229,31.44%,3,65,1,0,69
Commissioner of Agriculture,1067,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,1068,22,8,30,121,24.79%,12,17,0,0,29
Commissioner of Agriculture,1069,434,256,690,2580,26.74%,303,330,18,11,662
Commissioner of Agriculture,Totals:,379077,308736,687813,2044361,,351916,292407,14116,9856,668295
