Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0992,157,107,264,1048,25.19%,145,105,250
"Judge, County Criminal Court No.4",0993,169,101,270,568,47.54%,222,38,260
"Judge, County Criminal Court No.4",0994,e,5,11,25,44.00%,2,9,11
"Judge, County Criminal Court No.4",0995,295,156,451,1393,32.38%,29,413,442
"Judge, County Criminal Court No.4",0996,135,140,275,694,39.63%,153,101,254
"Judge, County Criminal Court No.4",0997,101,163,264,1656,15.94%,59,201,260
"Judge, County Criminal Court No.4",0998,5,1,6,57,10.53%,3,3,6
"Judge, County Criminal Court No.4",0999,17,10,27,68,39.71%,23,3,26
"Judge, County Criminal Court No.4",1000,42,6,48,405,11.85%,12,35,47
"Judge, County Criminal Court No.4",1001,228,136,364,1565,23.26%,99,245,344
"Judge, County Criminal Court No.4",1002,170,139,309,1744,17.72%,55,237,292
"Judge, County Criminal Court No.4",1003,1,0,1,0,0.00%,1,0,1
"Judge, County Criminal Court No.4",1004,111,139,250,654,38.23%,123,100,223
"Judge, County Criminal Court No.4",1005,0,8,8,0,0.00%,5,2,7
"Judge, County Criminal Court No.4",1006,1,0,1,5,20.00%,1,0,1
"Judge, County Criminal Court No.4",1007,208,188,396,1547,25.60%,94,287,381
"Judge, County Criminal Court No.4",1008,32,12,44,151,29.14%,32,9,41
"Judge, County Criminal Court No.4",1009,0,0,0,9,0.00%,0,0,0
"Judge, County Criminal Court No.4",1010,59,35,94,459,20.48%,16,76,92
"Judge, County Criminal Court No.4",1011,8,1,9,26,34.62%,5,3,8
"Judge, County Criminal Court No.4",1012,134,201,335,1365,24.54%,99,227,326
"Judge, County Criminal Court No.4",1013,0,6,6,58,10.34%,3,3,6
"Judge, County Criminal Court No.4",1014,4,6,10,31,32.26%,1,9,10
"Judge, County Criminal Court No.4",1015,5,4,9,25,36.00%,3,5,8
"Judge, County Criminal Court No.4",1016,252,212,464,1691,27.44%,232,213,445
"Judge, County Criminal Court No.4",1017,61,44,105,330,31.82%,31,72,103
"Judge, County Criminal Court No.4",1018,93,64,157,494,31.78%,70,83,153
"Judge, County Criminal Court No.4",1019,130,107,237,1456,16.28%,10,222,232
"Judge, County Criminal Court No.4",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No.4",1021,0,0,0,2,0.00%,0,0,0
"Judge, County Criminal Court No.4",1022,97,79,176,441,39.91%,132,34,166
"Judge, County Criminal Court No.4",1023,430,315,745,2026,36.77%,527,186,713
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",1024,55,61,116,249,46.59%,64,42,106
"Judge, County Criminal Court No.4",1025,0,1,1,14,7.14%,1,0,1
"Judge, County Criminal Court No.4",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",1027,1,0,1,8,12.50%,1,0,1
"Judge, County Criminal Court No.4",1028,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",1029,537,719,1256,2927,42.91%,985,216,1201
"Judge, County Criminal Court No.4",1030,231,151,382,785,48.66%,337,39,376
"Judge, County Criminal Court No.4",1031,59,71,130,792,16.41%,35,86,121
"Judge, County Criminal Court No.4",1032,31,25,56,244,22.95%,35,17,52
"Judge, County Criminal Court No.4",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",1034,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",1035,2,4,6,138,4.35%,1,4,5
"Judge, County Criminal Court No.4",1036,65,24,89,449,19.82%,75,13,88
"Judge, County Criminal Court No.4",1037,19,11,30,76,39.47%,17,9,26
"Judge, County Criminal Court No.4",1038,62,6,68,327,20.80%,9,55,64
"Judge, County Criminal Court No.4",1039,2,0,2,25,8.00%,0,2,2
"Judge, County Criminal Court No.4",1040,91,66,157,771,20.36%,72,79,151
"Judge, County Criminal Court No.4",1041,0,2,2,0,0.00%,0,2,2
"Judge, County Criminal Court No.4",1042,105,67,172,521,33.01%,54,110,164
"Judge, County Criminal Court No.4",1043,6,6,12,33,36.36%,4,8,12
"Judge, County Criminal Court No.4",1044,16,6,22,55,40.00%,7,14,21
"Judge, County Criminal Court No.4",1045,197,173,370,1788,20.69%,51,304,355
"Judge, County Criminal Court No.4",1046,11,5,16,62,25.81%,1,15,16
"Judge, County Criminal Court No.4",1047,255,186,441,1568,28.13%,159,269,428
"Judge, County Criminal Court No.4",1048,1,0,1,17,5.88%,1,0,1
"Judge, County Criminal Court No.4",1049,14,45,59,290,20.34%,21,36,57
"Judge, County Criminal Court No.4",1050,60,63,123,537,22.91%,36,84,120
"Judge, County Criminal Court No.4",1051,0,31,31,0,0.00%,17,11,28
"Judge, County Criminal Court No.4",1052,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",1053,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",1054,0,0,0,1,0.00%,0,0,0
"Judge, County Criminal Court No.4",1055,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",1056,4,2,6,8,75.00%,0,6,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",1057,7,9,16,118,13.56%,3,12,15
"Judge, County Criminal Court No.4",1058,241,285,526,1243,42.32%,102,410,512
"Judge, County Criminal Court No.4",1059,3,3,6,28,21.43%,1,5,6
"Judge, County Criminal Court No.4",1060,5,2,7,42,16.67%,5,2,7
"Judge, County Criminal Court No.4",1061,332,184,516,1716,30.07%,272,223,495
"Judge, County Criminal Court No.4",1062,17,6,23,201,11.44%,3,18,21
"Judge, County Criminal Court No.4",1063,66,59,125,857,14.59%,19,102,121
"Judge, County Criminal Court No.4",1064,25,11,36,119,30.25%,28,8,36
"Judge, County Criminal Court No.4",1065,1,0,1,28,3.57%,0,1,1
"Judge, County Criminal Court No.4",1066,72,0,72,229,31.44%,3,64,67
"Judge, County Criminal Court No.4",1067,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",1068,22,8,30,121,24.79%,13,16,29
"Judge, County Criminal Court No.4",1069,434,256,690,2580,26.74%,321,326,647
"Judge, County Criminal Court No.4",Totals:,378846,308736,687582,2044361,358871,296088,654959
