Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0850,87,38,125,205,60.98%,44,79,123
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0851,2192,816,3008,4317,69.68%,1892,965,2857
"Justice, 14th Court of Appeals District, Place 8",0852,0,4,4,2,200.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 8",0853,1413,605,2018,2773,72.77%,1517,403,1920
"Justice, 14th Court of Appeals District, Place 8",0854,41,30,71,175,40.57%,3,67,70
"Justice, 14th Court of Appeals District, Place 8",0855,4,13,17,18,94.44%,8,9,17
"Justice, 14th Court of Appeals District, Place 8",0856,0,4,4,0,0.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 8",0857,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0858,132,18,150,372,40.32%,4,141,145
"Justice, 14th Court of Appeals District, Place 8",0859,309,201,510,860,59.30%,101,398,499
"Justice, 14th Court of Appeals District, Place 8",0860,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 8",0861,705,319,1024,1786,57.33%,175,818,993
"Justice, 14th Court of Appeals District, Place 8",0862,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0863,210,69,279,620,45.00%,10,262,272
"Justice, 14th Court of Appeals District, Place 8",0864,497,609,1106,2464,44.89%,239,809,1048
"Justice, 14th Court of Appeals District, Place 8",0865,9,2,11,23,47.83%,0,11,11
"Justice, 14th Court of Appeals District, Place 8",0866,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0867,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0868,573,586,1159,2292,50.57%,327,773,1100
"Justice, 14th Court of Appeals District, Place 8",0869,153,76,229,473,48.41%,30,188,218
"Justice, 14th Court of Appeals District, Place 8",0870,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0871,3,0,3,4,75.00%,0,3,3
"Justice, 14th Court of Appeals District, Place 8",0872,13,5,18,66,27.27%,9,7,16
"Justice, 14th Court of Appeals District, Place 8",0873,253,125,378,701,53.92%,90,282,372
"Justice, 14th Court of Appeals District, Place 8",0874,1534,748,2282,3107,73.45%,1703,476,2179
"Justice, 14th Court of Appeals District, Place 8",0875,1719,927,2646,4031,65.64%,1206,1332,2538
"Justice, 14th Court of Appeals District, Place 8",0876,1629,639,2268,3013,75.27%,1604,570,2174
"Justice, 14th Court of Appeals District, Place 8",0877,1031,542,1673,2480,67.46%,685,938,1623
"Justice, 14th Court of Appeals District, Place 8",0878,853,350,1203,1641,73.31%,981,163,1144
"Justice, 14th Court of Appeals District, Place 8",0879,890,527,1417,2334,60.71%,610,749,1359
"Justice, 14th Court of Appeals District, Place 8",0880,1068,472,1540,2007,76.73%,1151,312,1463
"Justice, 14th Court of Appeals District, Place 8",0881,1510,877,2387,3619,65.96%,721,1583,2304
"Justice, 14th Court of Appeals District, Place 8",0882,940,457,1397,2328,60.01%,761,572,1333
"Justice, 14th Court of Appeals District, Place 8",0883,1918,1042,2960,4651,63.64%,464,2408,2872
"Justice, 14th Court of Appeals District, Place 8",0884,118,37,155,330,46.97%,18,131,149
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0885,1222,541,1763,2466,71.49%,1013,669,1682
"Justice, 14th Court of Appeals District, Place 8",0886,301,154,455,713,63.81%,232,180,412
"Justice, 14th Court of Appeals District, Place 8",0887,138,83,221,313,70.61%,116,81,197
"Justice, 14th Court of Appeals District, Place 8",0888,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0889,22,0,22,61,36.07%,12,9,21
"Justice, 14th Court of Appeals District, Place 8",0890,321,118,439,994,44.16%,167,247,414
"Justice, 14th Court of Appeals District, Place 8",0891,539,392,931,1413,65.89%,365,499,864
"Justice, 14th Court of Appeals District, Place 8",0892,194,130,324,696,46.55%,92,208,300
"Justice, 14th Court of Appeals District, Place 8",0893,1,0,1,5,20.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 8",0894,0,31,31,0,0.00%,8,20,28
"Justice, 14th Court of Appeals District, Place 8",0895,335,325,660,784,84.18%,303,292,595
"Justice, 14th Court of Appeals District, Place 8",0896,670,303,973,1437,67.71%,388,502,890
"Justice, 14th Court of Appeals District, Place 8",0897,742,375,1117,1624,68.78%,598,470,1068
"Justice, 14th Court of Appeals District, Place 8",0898,0,0,0,2,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0899,4,0,4,8,50.00%,1,3,4
"Justice, 14th Court of Appeals District, Place 8",0900,5,0,5,12,41.67%,1,3,4
"Justice, 14th Court of Appeals District, Place 8",0901,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0902,865,621,1486,2065,71.96%,836,536,1372
"Justice, 14th Court of Appeals District, Place 8",0903,10,1,11,41,26.83%,5,5,10
"Justice, 14th Court of Appeals District, Place 8",0904,0,1,1,1,100.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 8",0905,290,168,458,908,50.44%,153,272,425
"Justice, 14th Court of Appeals District, Place 8",0906,12,6,18,26,69.23%,9,8,17
"Justice, 14th Court of Appeals District, Place 8",0907,60,43,103,134,76.87%,22,79,101
"Justice, 14th Court of Appeals District, Place 8",0908,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0909,5,7,12,19,63.16%,5,6,11
"Justice, 14th Court of Appeals District, Place 8",0910,55,34,89,226,39.38%,30,54,84
"Justice, 14th Court of Appeals District, Place 8",0911,227,79,306,570,53.68%,195,92,287
"Justice, 14th Court of Appeals District, Place 8",0912,675,221,896,1235,72.55%,537,294,831
"Justice, 14th Court of Appeals District, Place 8",0913,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0914,169,67,236,221,106.79%,182,40,222
"Justice, 14th Court of Appeals District, Place 8",0915,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0916,604,182,786,1045,75.22%,634,116,750
"Justice, 14th Court of Appeals District, Place 8",0917,280,137,417,481,86.69%,289,95,384
"Justice, 14th Court of Appeals District, Place 8",0918,489,135,624,883,70.67%,485,94,579
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0919,0,3,3,3,100.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 8",0920,6,0,6,13,46.15%,6,0,6
"Justice, 14th Court of Appeals District, Place 8",0921,71,9,80,87,91.95%,60,19,79
"Justice, 14th Court of Appeals District, Place 8",0922,0,2,2,0,0.00%,1,1,2
"Justice, 14th Court of Appeals District, Place 8",0923,664,87,751,826,90.92%,564,159,723
"Justice, 14th Court of Appeals District, Place 8",0924,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0925,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0926,351,120,481,621,77.46%,356,101,457
"Justice, 14th Court of Appeals District, Place 8",0927,84,74,158,262,60.31%,76,75,151
"Justice, 14th Court of Appeals District, Place 8",0928,4,2,6,9,66.67%,0,6,6
"Justice, 14th Court of Appeals District, Place 8",0929,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0930,200,77,277,567,48.85%,5,263,268
"Justice, 14th Court of Appeals District, Place 8",0931,48,53,101,122,82.79%,51,36,87
"Justice, 14th Court of Appeals District, Place 8",0932,0,5,5,0,0.00%,1,4,5
"Justice, 14th Court of Appeals District, Place 8",0933,235,1,21,356,566,62.90%,94,245,339
"Justice, 14th Court of Appeals District, Place 8",0934,12,1,13,41,31.71%,5,8,13
"Justice, 14th Court of Appeals District, Place 8",0935,8,17,25,65,38.46%,11,13,24
"Justice, 14th Court of Appeals District, Place 8",0936,12,10,22,70,31.43%,7,13,20
"Justice, 14th Court of Appeals District, Place 8",0937,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0938,73,14,87,256,33.98%,29,54,83
"Justice, 14th Court of Appeals District, Place 8",0939,1,0,1,1,100.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 8",0940,1,0,1,13,7.69%,0,1,1
"Justice, 14th Court of Appeals District, Place 8",0941,13,9,22,25,88.00%,22,0,22
"Justice, 14th Court of Appeals District, Place 8",0942,68,24,92,159,57.86%,74,11,85
"Justice, 14th Court of Appeals District, Place 8",0943,297,63,360,536,67.16%,251,79,330
"Justice, 14th Court of Appeals District, Place 8",0944,30,6,36,39,92.31%,31,3,34
"Justice, 14th Court of Appeals District, Place 8",0945,4,7,11,16,68.75%,0,9,9
"Justice, 14th Court of Appeals District, Place 8",0946,3,3,6,14,42.86%,0,4,4
"Justice, 14th Court of Appeals District, Place 8",0947,320,292,612,822,74.45%,316,238,554
"Justice, 14th Court of Appeals District, Place 8",0948,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0949,59,37,96,201,47.76%,40,50,90
"Justice, 14th Court of Appeals District, Place 8",0950,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0951,79,44,123,218,56.42%,23,95,118
"Justice, 14th Court of Appeals District, Place 8",0952,24,16,40,70,57.14%,20,15,35
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0953,59,52,111,420,26.43%,8,102,110
"Justice, 14th Court of Appeals District, Place 8",0954,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0955,5,20,25,18,138.89%,14,10,24
"Justice, 14th Court of Appeals District, Place 8",0956,5,2,7,12,58.33%,4,3,7
"Justice, 14th Court of Appeals District, Place 8",0957,261,115,376,551,68.24%,51,315,366
"Justice, 14th Court of Appeals District, Place 8",0958,289,266,555,989,56.12%,108,419,527
"Justice, 14th Court of Appeals District, Place 8",0959,0,4,4,0,0.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 8",0960,363,143,506,586,86.35%,133,358,491
"Justice, 14th Court of Appeals District, Place 8",0961,23,11,34,53,64.15%,7,27,34
"Justice, 14th Court of Appeals District, Place 8",0962,24,13,37,73,50.68%,8,26,34
"Justice, 14th Court of Appeals District, Place 8",0963,130,69,199,353,56.37%,107,79,186
"Justice, 14th Court of Appeals District, Place 8",0964,947,447,1394,1571,88.73%,827,516,1343
"Justice, 14th Court of Appeals District, Place 8",0965,93,27,120,355,33.80%,80,33,113
"Justice, 14th Court of Appeals District, Place 8",0966,305,160,465,1073,43.34%,123,318,441
"Justice, 14th Court of Appeals District, Place 8",0967,48,15,63,98,64.29%,24,38,62
"Justice, 14th Court of Appeals District, Place 8",0968,243,83,326,517,63.06%,60,256,316
"Justice, 14th Court of Appeals District, Place 8",0969,335,82,417,584,71.40%,3,400,403
"Justice, 14th Court of Appeals District, Place 8",0970,212,76,288,704,40.91%,27,242,269
"Justice, 14th Court of Appeals District, Place 8",0971,27,21,48,129,37.21%,1,46,47
"Justice, 14th Court of Appeals District, Place 8",0972,10,7,17,29,58.62%,12,5,17
"Justice, 14th Court of Appeals District, Place 8",0973,49,24,73,107,68.22%,40,29,69
"Justice, 14th Court of Appeals District, Place 8",0974,101,71,172,299,57.53%,106,59,165
"Justice, 14th Court of Appeals District, Place 8",0975,72,41,113,170,66.47%,50,54,104
"Justice, 14th Court of Appeals District, Place 8",0976,159,131,290,684,42.40%,162,104,266
"Justice, 14th Court of Appeals District, Place 8",0977,104,83,187,535,34.95%,68,108,176
"Justice, 14th Court of Appeals District, Place 8",0978,201,102,303,506,59.88%,47,245,292
"Justice, 14th Court of Appeals District, Place 8",0979,5,e,11,26,42.31%,10,1,11
"Justice, 14th Court of Appeals District, Place 8",0980,595,356,951,1323,71.88%,675,219,894
"Justice, 14th Court of Appeals District, Place 8",0981,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0982,534,218,752,1021,73.65%,575,137,712
"Justice, 14th Court of Appeals District, Place 8",0983,41,28,69,165,41.82%,38,27,65
"Justice, 14th Court of Appeals District, Place 8",0984,43,49,92,198,46.46%,6,82,88
"Justice, 14th Court of Appeals District, Place 8",0985,172,67,239,336,71.13%,116,106,222
"Justice, 14th Court of Appeals District, Place 8",0986,129,86,215,404,53.22%,20,182,202
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0987,465,191,656,1138,57.64%,47,587,634
"Justice, 14th Court of Appeals District, Place 8",0988,44,21,65,111,58.56%,53,9,62
"Justice, 14th Court of Appeals District, Place 8",0989,18,8,26,36,72.22%,11,14,25
"Justice, 14th Court of Appeals District, Place 8",0990,37,15,52,154,33.77%,15,29,44
"Justice, 14th Court of Appeals District, Place 8",0991,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0992,310,202,512,1015,50.44%,280,212,492
"Justice, 14th Court of Appeals District, Place 8",0993,272,91,363,551,65.88%,279,59,338
"Justice, 14th Court of Appeals District, Place 8",0994,6,5,11,8,137.50%,2,8,10
"Justice, 14th Court of Appeals District, Place 8",0995,596,190,786,1269,61.94%,33,720,753
"Justice, 14th Court of Appeals District, Place 8",0996,297,125,422,699,60.37%,223,171,394
"Justice, 14th Court of Appeals District, Place 8",0997,429,328,757,1439,52.61%,122,613,735
"Justice, 14th Court of Appeals District, Place 8",0998,15,9,24,35,68.57%,16,7,23
"Justice, 14th Court of Appeals District, Place 8",0999,30,16,46,65,70.77%,35,8,43
"Justice, 14th Court of Appeals District, Place 8",1000,105,0,105,458,22.93%,16,82,98
"Justice, 14th Court of Appeals District, Place 8",1001,496,294,790,1566,50.45%,144,602,746
"Justice, 14th Court of Appeals District, Place 8",1002,464,314,778,1738,44.76%,82,662,744
"Justice, 14th Court of Appeals District, Place 8",1003,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",1004,224,153,377,656,57.47%,187,146,333
"Justice, 14th Court of Appeals District, Place 8",1005,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",1006,3,0,3,5,60.00%,3,0,3
"Justice, 14th Court of Appeals District, Place 8",1007,555,295,850,1371,62.00%,194,633,827
"Justice, 14th Court of Appeals District, Place 8",1008,86,21,107,150,71.33%,79,22,101
"Justice, 14th Court of Appeals District, Place 8",1009,3,1,4,8,50.00%,3,1,4
"Justice, 14th Court of Appeals District, Place 8",1010,125,74,199,317,62.78%,28,163,191
"Justice, 14th Court of Appeals District, Place 8",1011,12,3,15,29,51.72%,6,6,12
"Justice, 14th Court of Appeals District, Place 8",1012,395,318,713,1235,57.73%,185,501,686
"Justice, 14th Court of Appeals District, Place 8",1013,8,14,22,60,36.67%,15,7,22
"Justice, 14th Court of Appeals District, Place 8",1014,9,7,16,36,44.44%,3,13,16
"Justice, 14th Court of Appeals District, Place 8",1015,11,7,18,29,62.07%,4,13,17
"Justice, 14th Court of Appeals District, Place 8",1016,591,364,955,1626,58.73%,411,498,909
"Justice, 14th Court of Appeals District, Place 8",1017,127,50,177,232,76.29%,47,122,169
"Justice, 14th Court of Appeals District, Place 8",1018,209,92,301,468,64.32%,138,154,292
"Justice, 14th Court of Appeals District, Place 8",1019,426,4,430,1518,28.33%,13,401,414
"Justice, 14th Court of Appeals District, Place 8",1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",1021,1,0,1,2,50.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 8",1022,190,30,220,426,51.64%,169,41,210
"Justice, 14th Court of Appeals District, Place 8",1023,894,401,1295,1964,65.94%,825,403,1228
"Justice, 14th Court of Appeals District, Place 8",1024,113,77,190,259,73.36%,98,74,172
"Justice, 14th Court of Appeals District, Place 8",1025,4,0,4,18,22.22%,1,3,4
"Justice, 14th Court of Appeals District, Place 8",1026,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",1027,0,1,1,1,100.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",1028,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 8",1029,1021,641,1662,1802,92.23%,1261,308,1569
"Justice, 14th Court of Appeals District, Place 8",1030,397,105,502,655,76.64%,436,50,486
"Justice, 14th Court of Appeals District, Place 8",1031,3,3,6,6,100.00%,5,1,6
"Justice, 14th Court of Appeals District, Place 8",1032,59,80,139,241,57.68%,99,32,131
"Justice, 14th Court of Appeals District, Place 8",1033,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",1034,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",1035,24,13,37,139,26.62%,4,32,36
"Justice, 14th Court of Appeals District, Place 8",1036,144,46,190,433,43.88%,143,36,179
"Justice, 14th Court of Appeals District, Place 8",1037,27,16,43,73,58.90%,21,15,36
"Justice, 14th Court of Appeals District, Place 8",1038,133,43,176,266,66.17%,10,163,173
"Justice, 14th Court of Appeals District, Place 8",1039,3,5,8,20,40.00%,1,7,8
"Justice, 14th Court of Appeals District, Place 8",1040,194,146,340,607,56.01%,177,142,319
"Justice, 14th Court of Appeals District, Place 8",1041,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",1042,227,50,277,498,55.62%,78,192,270
"Justice, 14th Court of Appeals District, Place 8",1043,12,2,14,31,45.16%,3,11,14
"Justice, 14th Court of Appeals District, Place 8",1044,29,5,34,59,57.63%,8,26,34
"Justice, 14th Court of Appeals District, Place 8",1045,612,321,933,1439,64.84%,118,787,905
"Justice, 14th Court of Appeals District, Place 8",1046,19,18,37,54,68.52%,4,32,36
"Justice, 14th Court of Appeals District, Place 8",1047,553,288,851,1242,68.52%,253,563,816
"Justice, 14th Court of Appeals District, Place 8",1048,3,1,4,18,22.22%,2,2,4
"Justice, 14th Court of Appeals District, Place 8",1049,57,71,128,266,48.12%,35,88,123
"Justice, 14th Court of Appeals District, Place 8",1050,148,153,301,506,59.49%,63,226,289
"Justice, 14th Court of Appeals District, Place 8",1,051,0,1,2,1,2,0,0.00%,9,2,1,1
"Justice, 14th Court of Appeals District, Place 8",1052,0,2,2,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 8",1053,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",1054,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",1055,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",1056,4,0,4,6,66.67%,0,4,4
"Justice, 14th Court of Appeals District, Place 8",1057,34,7,41,115,35.65%,1,36,37
"Justice, 14th Court of Appeals District, Place 8",1058,540,246,786,1190,66.05%,114,649,763
"Justice, 14th Court of Appeals District, Place 8",1059,7,3,10,23,43.48%,1,9,10
"Justice, 14th Court of Appeals District, Place 8",1060,13,4,17,49,34.69%,9,8,17
"Justice, 14th Court of Appeals District, Place 8",1061,665,300,965,1613,59.83%,499,427,926
"Justice, 14th Court of Appeals District, Place 8",1062,59,25,85,168,50.60%,19,62,81
"Justice, 14th Court of Appeals District, Place 8",1063,226,63,289,792,36.49%,28,252,280
"Justice, 14th Court of Appeals District, Place 8",1064,45,1,46,120,38.33%,34,10,44
"Justice, 14th Court of Appeals District, Place 8",Totals:,774863,427100,1201963,1942566,562417,575206,1137623
