Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0848,782,431,1213,1873,64.76%,384,776,1160
"Justice, 14th Court of Appeals District, Place 5",0849,553,514,1067,2073,51.47%,345,651,996
"Justice, 14th Court of Appeals District, Place 5",0850,87,38,125,205,60.98%,53,67,120
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0851,2192,816,3008,4317,69.68%,1930,927,2857
"Justice, 14th Court of Appeals District, Place 5",0852,0,4,4,2,200.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 5",0853,1413,605,2018,2773,72.77%,1533,384,1917
"Justice, 14th Court of Appeals District, Place 5",0854,41,30,71,175,40.57%,5,64,69
"Justice, 14th Court of Appeals District, Place 5",0855,4,13,17,18,94.44%,9,8,17
"Justice, 14th Court of Appeals District, Place 5",0856,0,4,4,0,0.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 5",0857,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0858,132,18,150,372,40.32%,4,141,145
"Justice, 14th Court of Appeals District, Place 5",0859,309,201,510,860,59.30%,101,397,498
"Justice, 14th Court of Appeals District, Place 5",0860,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 5",0861,705,319,1024,1786,57.33%,176,823,999
"Justice, 14th Court of Appeals District, Place 5",0862,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0863,210,69,279,620,45.00%,11,261,272
"Justice, 14th Court of Appeals District, Place 5",0864,497,609,1106,2464,44.89%,265,783,1048
"Justice, 14th Court of Appeals District, Place 5",0865,9,2,11,23,47.83%,0,11,11
"Justice, 14th Court of Appeals District, Place 5",0866,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0867,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0868,573,586,1159,2292,50.57%,345,754,1099
"Justice, 14th Court of Appeals District, Place 5",0869,153,76,229,473,48.41%,34,185,219
"Justice, 14th Court of Appeals District, Place 5",0870,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0871,3,0,3,4,75.00%,0,3,3
"Justice, 14th Court of Appeals District, Place 5",0872,13,5,18,66,27.27%,10,6,16
"Justice, 14th Court of Appeals District, Place 5",0873,253,125,378,701,53.92%,94,279,373
"Justice, 14th Court of Appeals District, Place 5",0874,1534,748,2282,3107,73.45%,1714,458,2172
"Justice, 14th Court of Appeals District, Place 5",0875,1719,927,2646,4031,65.64%,1255,1272,2527
"Justice, 14th Court of Appeals District, Place 5",0876,1629,639,2268,3013,75.27%,1631,542,2173
"Justice, 14th Court of Appeals District, Place 5",0877,1031,542,1673,2480,67.46%,712,913,1625
"Justice, 14th Court of Appeals District, Place 5",0878,853,350,1203,1641,73.31%,996,143,1139
"Justice, 14th Court of Appeals District, Place 5",0879,890,527,1417,2334,60.71%,653,707,1360
"Justice, 14th Court of Appeals District, Place 5",0880,1068,472,1540,2007,76.73%,1158,300,1458
"Justice, 14th Court of Appeals District, Place 5",0881,1510,877,2387,3619,65.96%,767,1531,2298
"Justice, 14th Court of Appeals District, Place 5",0882,940,457,1397,2328,60.01%,778,557,1335
"Justice, 14th Court of Appeals District, Place 5",0883,1918,1042,2960,4651,63.64%,528,2343,2871
"Justice, 14th Court of Appeals District, Place 5",0884,118,37,155,330,46.97%,21,128,149
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0885,1222,541,1763,2466,71.49%,1037,640,1677
"Justice, 14th Court of Appeals District, Place 5",0886,301,154,455,713,63.81%,240,170,410
"Justice, 14th Court of Appeals District, Place 5",0887,138,83,221,313,70.61%,123,73,196
"Justice, 14th Court of Appeals District, Place 5",0888,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0889,22,0,22,61,36.07%,13,8,21
"Justice, 14th Court of Appeals District, Place 5",0890,321,118,439,994,44.16%,177,237,414
"Justice, 14th Court of Appeals District, Place 5",0891,539,392,931,1413,65.89%,383,477,860
"Justice, 14th Court of Appeals District, Place 5",0892,194,130,324,696,46.55%,97,200,297
"Justice, 14th Court of Appeals District, Place 5",0893,1,0,1,5,20.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 5",0894,0,31,31,0,0.00%,8,20,28
"Justice, 14th Court of Appeals District, Place 5",0895,335,325,660,784,84.18%,338,261,599
"Justice, 14th Court of Appeals District, Place 5",0896,670,303,973,1437,67.71%,418,476,894
"Justice, 14th Court of Appeals District, Place 5",0897,742,375,1117,1624,68.78%,606,462,1068
"Justice, 14th Court of Appeals District, Place 5",0898,0,0,0,2,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0899,4,0,4,8,50.00%,1,3,4
"Justice, 14th Court of Appeals District, Place 5",0900,5,0,5,12,41.67%,1,3,4
"Justice, 14th Court of Appeals District, Place 5",0901,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0902,865,621,1486,2065,71.96%,866,501,1367
"Justice, 14th Court of Appeals District, Place 5",0903,10,1,11,41,26.83%,6,4,10
"Justice, 14th Court of Appeals District, Place 5",0904,0,1,1,1,100.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 5",0905,290,168,458,908,50.44%,174,244,418
"Justice, 14th Court of Appeals District, Place 5",0906,12,6,18,26,69.23%,11,7,18
"Justice, 14th Court of Appeals District, Place 5",0907,60,43,103,134,76.87%,22,79,101
"Justice, 14th Court of Appeals District, Place 5",0908,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0909,5,7,12,19,63.16%,5,5,10
"Justice, 14th Court of Appeals District, Place 5",0910,55,34,89,226,39.38%,36,47,83
"Justice, 14th Court of Appeals District, Place 5",0911,227,79,306,570,53.68%,198,90,288
"Justice, 14th Court of Appeals District, Place 5",0912,675,221,896,1235,72.55%,545,292,837
"Justice, 14th Court of Appeals District, Place 5",0913,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0914,169,67,236,221,106.79%,181,40,221
"Justice, 14th Court of Appeals District, Place 5",0915,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0916,604,182,786,1045,75.22%,636,114,750
"Justice, 14th Court of Appeals District, Place 5",0917,280,137,417,481,86.69%,294,89,383
"Justice, 14th Court of Appeals District, Place 5",0918,489,135,624,883,70.67%,500,85,585
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0919,0,3,3,3,100.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 5",0920,6,0,6,13,46.15%,6,0,6
"Justice, 14th Court of Appeals District, Place 5",0921,71,9,80,87,91.95%,62,18,80
"Justice, 14th Court of Appeals District, Place 5",0922,0,2,2,0,0.00%,1,1,2
"Justice, 14th Court of Appeals District, Place 5",0923,664,87,751,826,90.92%,577,148,725
"Justice, 14th Court of Appeals District, Place 5",0924,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0925,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0926,351,1,20,481,621,77.46%,358,97,455
"Justice, 14th Court of Appeals District, Place 5",0927,84,74,158,262,60.31%,79,72,151
"Justice, 14th Court of Appeals District, Place 5",0928,4,2,6,9,66.67%,0,6,6
"Justice, 14th Court of Appeals District, Place 5",0929,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0930,200,77,277,567,48.85%,5,263,268
"Justice, 14th Court of Appeals District, Place 5",0931,48,53,101,122,82.79%,51,37,88
"Justice, 14th Court of Appeals District, Place 5",0932,0,5,5,0,0.00%,1,4,5
"Justice, 14th Court of Appeals District, Place 5",0933,235,1,21,356,566,62.90%,92,246,338
"Justice, 14th Court of Appeals District, Place 5",0934,12,1,13,41,31.71%,6,7,13
"Justice, 14th Court of Appeals District, Place 5",0935,8,17,25,65,38.46%,11,13,24
"Justice, 14th Court of Appeals District, Place 5",0936,12,10,22,70,31.43%,7,12,19
"Justice, 14th Court of Appeals District, Place 5",0937,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0938,73,14,87,256,33.98%,30,53,83
"Justice, 14th Court of Appeals District, Place 5",0939,1,0,1,1,100.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 5",0940,1,0,1,13,7.69%,0,1,1
"Justice, 14th Court of Appeals District, Place 5",0941,13,9,22,25,88.00%,21,0,21
"Justice, 14th Court of Appeals District, Place 5",0942,68,24,92,159,57.86%,74,11,85
"Justice, 14th Court of Appeals District, Place 5",0943,297,63,360,536,67.16%,257,72,329
"Justice, 14th Court of Appeals District, Place 5",0944,30,6,36,39,92.31%,31,3,34
"Justice, 14th Court of Appeals District, Place 5",0945,4,7,11,16,68.75%,1,9,10
"Justice, 14th Court of Appeals District, Place 5",0946,3,3,6,14,42.86%,0,4,4
"Justice, 14th Court of Appeals District, Place 5",0947,320,292,612,822,74.45%,325,220,545
"Justice, 14th Court of Appeals District, Place 5",0948,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0949,59,37,96,201,47.76%,45,45,90
"Justice, 14th Court of Appeals District, Place 5",0950,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0951,79,44,123,218,56.42%,24,95,119
"Justice, 14th Court of Appeals District, Place 5",0952,24,16,40,70,57.14%,22,14,36
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0953,59,52,111,420,26.43%,8,102,110
"Justice, 14th Court of Appeals District, Place 5",0954,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0955,5,20,25,18,138.89%,14,9,23
"Justice, 14th Court of Appeals District, Place 5",0956,5,2,7,12,58.33%,5,2,7
"Justice, 14th Court of Appeals District, Place 5",0957,261,115,376,551,68.24%,61,303,364
"Justice, 14th Court of Appeals District, Place 5",0958,289,266,555,989,56.12%,117,407,524
"Justice, 14th Court of Appeals District, Place 5",0959,0,4,4,0,0.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 5",0960,363,143,506,586,86.35%,142,345,487
"Justice, 14th Court of Appeals District, Place 5",0961,23,11,34,53,64.15%,7,27,34
"Justice, 14th Court of Appeals District, Place 5",0962,24,13,37,73,50.68%,8,25,33
"Justice, 14th Court of Appeals District, Place 5",0963,130,69,199,353,56.37%,110,76,186
"Justice, 14th Court of Appeals District, Place 5",0964,947,447,1394,1571,88.73%,847,499,1346
"Justice, 14th Court of Appeals District, Place 5",0965,93,27,120,355,33.80%,76,37,113
"Justice, 14th Court of Appeals District, Place 5",0966,305,160,465,1073,43.34%,128,314,442
"Justice, 14th Court of Appeals District, Place 5",0967,48,15,63,98,64.29%,26,36,62
"Justice, 14th Court of Appeals District, Place 5",0968,243,83,326,517,63.06%,63,254,317
"Justice, 14th Court of Appeals District, Place 5",0969,335,82,417,584,71.40%,2,402,404
"Justice, 14th Court of Appeals District, Place 5",0970,212,76,288,704,40.91%,28,241,269
"Justice, 14th Court of Appeals District, Place 5",0971,27,21,48,129,37.21%,1,46,47
"Justice, 14th Court of Appeals District, Place 5",0972,10,7,17,29,58.62%,11,5,16
"Justice, 14th Court of Appeals District, Place 5",0973,49,24,73,107,68.22%,39,30,69
"Justice, 14th Court of Appeals District, Place 5",0974,101,71,172,299,57.53%,111,54,165
"Justice, 14th Court of Appeals District, Place 5",0975,72,41,113,170,66.47%,54,49,103
"Justice, 14th Court of Appeals District, Place 5",0976,159,131,290,684,42.40%,162,109,271
"Justice, 14th Court of Appeals District, Place 5",0977,104,83,187,535,34.95%,69,108,177
"Justice, 14th Court of Appeals District, Place 5",0978,201,102,303,506,59.88%,51,239,290
"Justice, 14th Court of Appeals District, Place 5",0979,5,e,11,26,42.31%,11,0,11
"Justice, 14th Court of Appeals District, Place 5",0980,595,356,951,1323,71.88%,682,212,894
"Justice, 14th Court of Appeals District, Place 5",0981,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0982,534,218,752,1021,73.65%,579,136,715
"Justice, 14th Court of Appeals District, Place 5",0983,41,28,69,165,41.82%,38,26,64
"Justice, 14th Court of Appeals District, Place 5",0984,43,49,92,198,46.46%,7,82,89
"Justice, 14th Court of Appeals District, Place 5",0985,172,67,239,336,71.13%,126,98,224
"Justice, 14th Court of Appeals District, Place 5",0986,129,86,215,404,53.22%,18,182,200
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0987,465,191,656,1138,57.64%,52,584,636
"Justice, 14th Court of Appeals District, Place 5",0988,44,21,65,111,58.56%,52,9,61
"Justice, 14th Court of Appeals District, Place 5",0989,18,8,26,36,72.22%,12,13,25
"Justice, 14th Court of Appeals District, Place 5",0990,37,15,52,154,33.77%,14,29,43
"Justice, 14th Court of Appeals District, Place 5",0991,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0992,310,202,512,1015,50.44%,284,204,488
"Justice, 14th Court of Appeals District, Place 5",0993,272,91,363,551,65.88%,283,57,340
"Justice, 14th Court of Appeals District, Place 5",0994,6,5,11,8,137.50%,2,8,10
"Justice, 14th Court of Appeals District, Place 5",0995,596,190,786,1269,61.94%,38,715,753
"Justice, 14th Court of Appeals District, Place 5",0996,297,125,422,699,60.37%,233,160,393
"Justice, 14th Court of Appeals District, Place 5",0997,429,328,757,1439,52.61%,122,612,734
"Justice, 14th Court of Appeals District, Place 5",0998,15,9,24,35,68.57%,16,7,23
"Justice, 14th Court of Appeals District, Place 5",0999,30,16,46,65,70.77%,35,7,42
"Justice, 14th Court of Appeals District, Place 5",1000,105,0,105,458,22.93%,16,82,98
"Justice, 14th Court of Appeals District, Place 5",1001,496,294,790,1566,50.45%,154,590,744
"Justice, 14th Court of Appeals District, Place 5",1002,464,314,778,1738,44.76%,89,657,746
"Justice, 14th Court of Appeals District, Place 5",1003,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",1004,224,153,377,656,57.47%,195,136,331
"Justice, 14th Court of Appeals District, Place 5",1005,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",1006,3,0,3,5,60.00%,3,0,3
"Justice, 14th Court of Appeals District, Place 5",1007,555,295,850,1371,62.00%,205,620,825
"Justice, 14th Court of Appeals District, Place 5",1008,86,21,107,150,71.33%,80,21,101
"Justice, 14th Court of Appeals District, Place 5",1009,3,1,4,8,50.00%,4,0,4
"Justice, 14th Court of Appeals District, Place 5",1010,125,74,199,317,62.78%,30,161,191
"Justice, 14th Court of Appeals District, Place 5",1011,12,3,15,29,51.72%,6,6,12
"Justice, 14th Court of Appeals District, Place 5",1012,395,318,713,1235,57.73%,191,492,683
"Justice, 14th Court of Appeals District, Place 5",1013,8,14,22,60,36.67%,15,7,22
"Justice, 14th Court of Appeals District, Place 5",1014,9,7,16,36,44.44%,3,13,16
"Justice, 14th Court of Appeals District, Place 5",1015,11,7,18,29,62.07%,4,13,17
"Justice, 14th Court of Appeals District, Place 5",1016,591,364,955,1626,58.73%,431,482,913
"Justice, 14th Court of Appeals District, Place 5",1017,127,50,177,232,76.29%,47,123,170
"Justice, 14th Court of Appeals District, Place 5",1018,209,92,301,468,64.32%,141,150,291
"Justice, 14th Court of Appeals District, Place 5",1019,426,4,430,1518,28.33%,17,397,414
"Justice, 14th Court of Appeals District, Place 5",1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",1021,1,0,1,2,50.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 5",1022,190,30,220,426,51.64%,171,39,210
"Justice, 14th Court of Appeals District, Place 5",1023,894,401,1295,1964,65.94%,844,382,1226
"Justice, 14th Court of Appeals District, Place 5",1024,113,77,190,259,73.36%,105,68,173
"Justice, 14th Court of Appeals District, Place 5",1025,4,0,4,18,22.22%,1,3,4
"Justice, 14th Court of Appeals District, Place 5",1026,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",1027,0,1,1,1,100.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",1028,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 5",1029,1021,641,1662,1802,92.23%,1283,285,1568
"Justice, 14th Court of Appeals District, Place 5",1030,397,105,502,655,76.64%,438,49,487
"Justice, 14th Court of Appeals District, Place 5",1031,3,3,6,6,100.00%,5,1,6
"Justice, 14th Court of Appeals District, Place 5",1032,59,80,139,241,57.68%,98,32,130
"Justice, 14th Court of Appeals District, Place 5",1033,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",1034,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",1035,24,13,37,139,26.62%,4,32,36
"Justice, 14th Court of Appeals District, Place 5",1036,144,46,190,433,43.88%,146,34,180
"Justice, 14th Court of Appeals District, Place 5",1037,27,16,43,73,58.90%,22,15,37
"Justice, 14th Court of Appeals District, Place 5",1038,133,43,176,266,66.17%,10,162,172
"Justice, 14th Court of Appeals District, Place 5",1039,3,5,8,20,40.00%,2,6,8
"Justice, 14th Court of Appeals District, Place 5",1040,194,146,340,607,56.01%,179,140,319
"Justice, 14th Court of Appeals District, Place 5",1041,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",1042,227,50,277,498,55.62%,80,191,271
"Justice, 14th Court of Appeals District, Place 5",1043,12,2,14,31,45.16%,3,11,14
"Justice, 14th Court of Appeals District, Place 5",1044,29,5,34,59,57.63%,9,24,33
"Justice, 14th Court of Appeals District, Place 5",1045,612,321,933,1439,64.84%,128,780,908
"Justice, 14th Court of Appeals District, Place 5",1046,19,18,37,54,68.52%,5,31,36
"Justice, 14th Court of Appeals District, Place 5",1047,553,288,851,1242,68.52%,261,557,818
"Justice, 14th Court of Appeals District, Place 5",1048,3,1,4,18,22.22%,2,2,4
"Justice, 14th Court of Appeals District, Place 5",1049,57,71,128,266,48.12%,41,82,123
"Justice, 14th Court of Appeals District, Place 5",1050,148,153,301,506,59.49%,68,222,290
"Justice, 14th Court of Appeals District, Place 5",1,051,0,1,2,1,2,0,0.00%,7,4,1,1
"Justice, 14th Court of Appeals District, Place 5",1052,0,2,2,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 5",1053,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",1054,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",1055,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",1056,4,0,4,6,66.67%,0,4,4
"Justice, 14th Court of Appeals District, Place 5",1057,34,7,41,115,35.65%,1,36,37
"Justice, 14th Court of Appeals District, Place 5",1058,540,246,786,1190,66.05%,123,634,757
"Justice, 14th Court of Appeals District, Place 5",1059,7,3,10,23,43.48%,0,10,10
"Justice, 14th Court of Appeals District, Place 5",1060,13,4,17,49,34.69%,9,8,17
"Justice, 14th Court of Appeals District, Place 5",1061,665,300,965,1613,59.83%,520,403,923
"Justice, 14th Court of Appeals District, Place 5",1062,59,25,85,168,50.60%,20,61,81
"Justice, 14th Court of Appeals District, Place 5",1063,226,63,289,792,36.49%,33,246,279
"Justice, 14th Court of Appeals District, Place 5",1064,45,1,46,120,38.33%,35,10,45
"Justice, 14th Court of Appeals District, Place 5",Totals:,774863,427100,1201963,1942566,578436,557972,1136408
