Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0848,782,431,1213,1873,64.76%,381,773,1154
"Justice, 14th Court of Appeals District, Place 4",0849,553,514,1067,2073,51.47%,344,654,998
"Justice, 14th Court of Appeals District, Place 4",0850,87,38,125,205,60.98%,52,68,120
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0851,2192,816,3008,4317,69.68%,1945,911,2856
"Justice, 14th Court of Appeals District, Place 4",0852,0,4,4,2,200.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 4",0853,1413,605,2018,2773,72.77%,1537,379,1916
"Justice, 14th Court of Appeals District, Place 4",0854,41,30,71,175,40.57%,7,62,69
"Justice, 14th Court of Appeals District, Place 4",0855,4,13,17,18,94.44%,9,8,17
"Justice, 14th Court of Appeals District, Place 4",0856,0,4,4,0,0.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 4",0857,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0858,132,18,150,372,40.32%,4,141,145
"Justice, 14th Court of Appeals District, Place 4",0859,309,201,510,860,59.30%,106,392,498
"Justice, 14th Court of Appeals District, Place 4",0860,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 4",0861,705,319,1024,1786,57.33%,181,815,996
"Justice, 14th Court of Appeals District, Place 4",0862,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0863,210,69,279,620,45.00%,11,260,271
"Justice, 14th Court of Appeals District, Place 4",0864,497,609,1106,2464,44.89%,276,771,1047
"Justice, 14th Court of Appeals District, Place 4",0865,9,2,11,23,47.83%,0,11,11
"Justice, 14th Court of Appeals District, Place 4",0866,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0867,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0868,573,586,1159,2292,50.57%,349,752,1101
"Justice, 14th Court of Appeals District, Place 4",0869,153,76,229,473,48.41%,35,184,219
"Justice, 14th Court of Appeals District, Place 4",0870,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0871,3,0,3,4,75.00%,0,3,3
"Justice, 14th Court of Appeals District, Place 4",0872,13,5,18,66,27.27%,8,8,16
"Justice, 14th Court of Appeals District, Place 4",0873,253,125,378,701,53.92%,95,278,373
"Justice, 14th Court of Appeals District, Place 4",0874,1534,748,2282,3107,73.45%,1730,451,2181
"Justice, 14th Court of Appeals District, Place 4",0875,1719,927,2646,4031,65.64%,1268,1261,2529
"Justice, 14th Court of Appeals District, Place 4",0876,1629,639,2268,3013,75.27%,1643,539,2182
"Justice, 14th Court of Appeals District, Place 4",0877,1031,542,1673,2480,67.46%,711,913,1624
"Justice, 14th Court of Appeals District, Place 4",0878,853,350,1203,1641,73.31%,993,148,1141
"Justice, 14th Court of Appeals District, Place 4",0879,890,527,1417,2334,60.71%,658,703,1361
"Justice, 14th Court of Appeals District, Place 4",0880,1068,472,1540,2007,76.73%,1163,295,1458
"Justice, 14th Court of Appeals District, Place 4",0881,1510,877,2387,3619,65.96%,750,1549,2299
"Justice, 14th Court of Appeals District, Place 4",0882,940,457,1397,2328,60.01%,776,557,1333
"Justice, 14th Court of Appeals District, Place 4",0883,1918,1042,2960,4651,63.64%,534,2332,2866
"Justice, 14th Court of Appeals District, Place 4",0884,118,37,155,330,46.97%,22,126,148
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0885,1222,541,1763,2466,71.49%,1049,632,1681
"Justice, 14th Court of Appeals District, Place 4",0886,301,154,455,713,63.81%,242,166,408
"Justice, 14th Court of Appeals District, Place 4",0887,138,83,221,313,70.61%,128,70,198
"Justice, 14th Court of Appeals District, Place 4",0888,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0889,22,0,22,61,36.07%,14,7,21
"Justice, 14th Court of Appeals District, Place 4",0890,321,118,439,994,44.16%,173,242,415
"Justice, 14th Court of Appeals District, Place 4",0891,539,392,931,1413,65.89%,385,480,865
"Justice, 14th Court of Appeals District, Place 4",0892,194,130,324,696,46.55%,102,196,298
"Justice, 14th Court of Appeals District, Place 4",0893,1,0,1,5,20.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 4",0894,0,31,31,0,0.00%,9,19,28
"Justice, 14th Court of Appeals District, Place 4",0895,335,325,660,784,84.18%,332,267,599
"Justice, 14th Court of Appeals District, Place 4",0896,670,303,973,1437,67.71%,408,483,891
"Justice, 14th Court of Appeals District, Place 4",0897,742,375,1117,1624,68.78%,607,459,1066
"Justice, 14th Court of Appeals District, Place 4",0898,0,0,0,2,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0899,4,0,4,8,50.00%,1,3,4
"Justice, 14th Court of Appeals District, Place 4",0900,5,0,5,12,41.67%,1,3,4
"Justice, 14th Court of Appeals District, Place 4",0901,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0902,865,621,1486,2065,71.96%,870,497,1367
"Justice, 14th Court of Appeals District, Place 4",0903,10,1,11,41,26.83%,6,4,10
"Justice, 14th Court of Appeals District, Place 4",0904,0,1,1,1,100.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 4",0905,290,168,458,908,50.44%,176,241,417
"Justice, 14th Court of Appeals District, Place 4",0906,12,6,18,26,69.23%,9,8,17
"Justice, 14th Court of Appeals District, Place 4",0907,60,43,103,134,76.87%,23,78,101
"Justice, 14th Court of Appeals District, Place 4",0908,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0909,5,7,12,19,63.16%,6,5,11
"Justice, 14th Court of Appeals District, Place 4",0910,55,34,89,226,39.38%,32,50,82
"Justice, 14th Court of Appeals District, Place 4",0911,227,79,306,570,53.68%,195,93,288
"Justice, 14th Court of Appeals District, Place 4",0912,675,221,896,1235,72.55%,548,286,834
"Justice, 14th Court of Appeals District, Place 4",0913,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0914,169,67,236,221,106.79%,182,39,221
"Justice, 14th Court of Appeals District, Place 4",0915,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0916,604,182,786,1045,75.22%,635,115,750
"Justice, 14th Court of Appeals District, Place 4",0917,280,137,417,481,86.69%,299,87,386
"Justice, 14th Court of Appeals District, Place 4",0918,489,135,624,883,70.67%,489,95,584
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0919,0,3,3,3,100.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 4",0920,6,0,6,13,46.15%,6,0,6
"Justice, 14th Court of Appeals District, Place 4",0921,71,9,80,87,91.95%,63,17,80
"Justice, 14th Court of Appeals District, Place 4",0922,0,2,2,0,0.00%,1,1,2
"Justice, 14th Court of Appeals District, Place 4",0923,664,87,751,826,90.92%,577,144,721
"Justice, 14th Court of Appeals District, Place 4",0924,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0925,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0926,351,1,20,481,621,77.46%,360,96,456
"Justice, 14th Court of Appeals District, Place 4",0927,84,74,158,262,60.31%,82,69,151
"Justice, 14th Court of Appeals District, Place 4",0928,4,2,6,9,66.67%,0,6,6
"Justice, 14th Court of Appeals District, Place 4",0929,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0930,200,77,277,567,48.85%,5,264,269
"Justice, 14th Court of Appeals District, Place 4",0931,48,53,101,122,82.79%,55,31,86
"Justice, 14th Court of Appeals District, Place 4",0932,0,5,5,0,0.00%,1,4,5
"Justice, 14th Court of Appeals District, Place 4",0933,235,1,21,356,566,62.90%,92,246,338
"Justice, 14th Court of Appeals District, Place 4",0934,12,1,13,41,31.71%,6,7,13
"Justice, 14th Court of Appeals District, Place 4",0935,8,17,25,65,38.46%,13,11,24
"Justice, 14th Court of Appeals District, Place 4",0936,12,10,22,70,31.43%,7,12,19
"Justice, 14th Court of Appeals District, Place 4",0937,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0938,73,14,87,256,33.98%,29,53,82
"Justice, 14th Court of Appeals District, Place 4",0939,1,0,1,1,100.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 4",0940,1,0,1,13,7.69%,0,1,1
"Justice, 14th Court of Appeals District, Place 4",0941,13,9,22,25,88.00%,22,0,22
"Justice, 14th Court of Appeals District, Place 4",0942,68,24,92,159,57.86%,75,11,86
"Justice, 14th Court of Appeals District, Place 4",0943,297,63,360,536,67.16%,259,70,329
"Justice, 14th Court of Appeals District, Place 4",0944,30,6,36,39,92.31%,30,3,33
"Justice, 14th Court of Appeals District, Place 4",0945,4,7,11,16,68.75%,1,8,9
"Justice, 14th Court of Appeals District, Place 4",0946,3,3,6,14,42.86%,0,4,4
"Justice, 14th Court of Appeals District, Place 4",0947,320,292,612,822,74.45%,322,221,543
"Justice, 14th Court of Appeals District, Place 4",0948,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0949,59,37,96,201,47.76%,42,48,90
"Justice, 14th Court of Appeals District, Place 4",0950,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0951,79,44,123,218,56.42%,26,94,120
"Justice, 14th Court of Appeals District, Place 4",0952,24,16,40,70,57.14%,21,15,36
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0953,59,52,111,420,26.43%,7,103,110
"Justice, 14th Court of Appeals District, Place 4",0954,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0955,5,20,25,18,138.89%,15,9,24
"Justice, 14th Court of Appeals District, Place 4",0956,5,2,7,12,58.33%,4,3,7
"Justice, 14th Court of Appeals District, Place 4",0957,261,115,376,551,68.24%,62,300,362
"Justice, 14th Court of Appeals District, Place 4",0958,289,266,555,989,56.12%,119,406,525
"Justice, 14th Court of Appeals District, Place 4",0959,0,4,4,0,0.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 4",0960,363,143,506,586,86.35%,136,351,487
"Justice, 14th Court of Appeals District, Place 4",0961,23,11,34,53,64.15%,8,26,34
"Justice, 14th Court of Appeals District, Place 4",0962,24,13,37,73,50.68%,8,25,33
"Justice, 14th Court of Appeals District, Place 4",0963,130,69,199,353,56.37%,108,76,184
"Justice, 14th Court of Appeals District, Place 4",0964,947,447,1394,1571,88.73%,849,495,1344
"Justice, 14th Court of Appeals District, Place 4",0965,93,27,120,355,33.80%,79,34,113
"Justice, 14th Court of Appeals District, Place 4",0966,305,160,465,1073,43.34%,133,307,440
"Justice, 14th Court of Appeals District, Place 4",0967,48,15,63,98,64.29%,26,36,62
"Justice, 14th Court of Appeals District, Place 4",0968,243,83,326,517,63.06%,63,254,317
"Justice, 14th Court of Appeals District, Place 4",0969,335,82,417,584,71.40%,3,401,404
"Justice, 14th Court of Appeals District, Place 4",0970,212,76,288,704,40.91%,28,241,269
"Justice, 14th Court of Appeals District, Place 4",0971,27,21,48,129,37.21%,1,46,47
"Justice, 14th Court of Appeals District, Place 4",0972,10,7,17,29,58.62%,11,5,16
"Justice, 14th Court of Appeals District, Place 4",0973,49,24,73,107,68.22%,43,26,69
"Justice, 14th Court of Appeals District, Place 4",0974,101,71,172,299,57.53%,111,54,165
"Justice, 14th Court of Appeals District, Place 4",0975,72,41,113,170,66.47%,54,49,103
"Justice, 14th Court of Appeals District, Place 4",0976,159,131,290,684,42.40%,166,105,271
"Justice, 14th Court of Appeals District, Place 4",0977,104,83,187,535,34.95%,68,109,177
"Justice, 14th Court of Appeals District, Place 4",0978,201,102,303,506,59.88%,52,240,292
"Justice, 14th Court of Appeals District, Place 4",0979,5,e,11,26,42.31%,10,1,11
"Justice, 14th Court of Appeals District, Place 4",0980,595,356,951,1323,71.88%,692,197,889
"Justice, 14th Court of Appeals District, Place 4",0981,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0982,534,218,752,1021,73.65%,586,129,715
"Justice, 14th Court of Appeals District, Place 4",0983,41,28,69,165,41.82%,40,24,64
"Justice, 14th Court of Appeals District, Place 4",0984,43,49,92,198,46.46%,7,82,89
"Justice, 14th Court of Appeals District, Place 4",0985,172,67,239,336,71.13%,125,98,223
"Justice, 14th Court of Appeals District, Place 4",0986,129,86,215,404,53.22%,18,182,200
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0987,465,191,656,1138,57.64%,51,582,633
"Justice, 14th Court of Appeals District, Place 4",0988,44,21,65,111,58.56%,52,9,61
"Justice, 14th Court of Appeals District, Place 4",0989,18,8,26,36,72.22%,12,13,25
"Justice, 14th Court of Appeals District, Place 4",0990,37,15,52,154,33.77%,16,28,44
"Justice, 14th Court of Appeals District, Place 4",0991,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0992,310,202,512,1015,50.44%,289,203,492
"Justice, 14th Court of Appeals District, Place 4",0993,272,91,363,551,65.88%,286,54,340
"Justice, 14th Court of Appeals District, Place 4",0994,6,5,11,8,137.50%,2,8,10
"Justice, 14th Court of Appeals District, Place 4",0995,596,190,786,1269,61.94%,37,719,756
"Justice, 14th Court of Appeals District, Place 4",0996,297,125,422,699,60.37%,237,156,393
"Justice, 14th Court of Appeals District, Place 4",0997,429,328,757,1439,52.61%,126,608,734
"Justice, 14th Court of Appeals District, Place 4",0998,15,9,24,35,68.57%,16,7,23
"Justice, 14th Court of Appeals District, Place 4",0999,30,16,46,65,70.77%,36,7,43
"Justice, 14th Court of Appeals District, Place 4",1000,105,0,105,458,22.93%,19,79,98
"Justice, 14th Court of Appeals District, Place 4",1001,496,294,790,1566,50.45%,161,586,747
"Justice, 14th Court of Appeals District, Place 4",1002,464,314,778,1738,44.76%,88,657,745
"Justice, 14th Court of Appeals District, Place 4",1003,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",1,004,224,1,53,377,656,57.47%,200,1,33,333
"Justice, 14th Court of Appeals District, Place 4",1005,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",1006,3,0,3,5,60.00%,3,0,3
"Justice, 14th Court of Appeals District, Place 4",1007,555,295,850,1371,62.00%,211,610,821
"Justice, 14th Court of Appeals District, Place 4",1008,86,21,107,150,71.33%,82,19,101
"Justice, 14th Court of Appeals District, Place 4",1009,3,1,4,8,50.00%,4,0,4
"Justice, 14th Court of Appeals District, Place 4",1010,125,74,199,317,62.78%,30,160,190
"Justice, 14th Court of Appeals District, Place 4",1011,12,3,15,29,51.72%,6,6,12
"Justice, 14th Court of Appeals District, Place 4",1012,395,318,713,1235,57.73%,191,495,686
"Justice, 14th Court of Appeals District, Place 4",1013,8,14,22,60,36.67%,15,7,22
"Justice, 14th Court of Appeals District, Place 4",1014,9,7,16,36,44.44%,4,12,16
"Justice, 14th Court of Appeals District, Place 4",1015,11,7,18,29,62.07%,4,13,17
"Justice, 14th Court of Appeals District, Place 4",1016,591,364,955,1626,58.73%,430,478,908
"Justice, 14th Court of Appeals District, Place 4",1017,127,50,177,232,76.29%,47,122,169
"Justice, 14th Court of Appeals District, Place 4",1018,209,92,301,468,64.32%,141,149,290
"Justice, 14th Court of Appeals District, Place 4",1019,426,4,430,1518,28.33%,18,395,413
"Justice, 14th Court of Appeals District, Place 4",1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",1021,1,0,1,2,50.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 4",1022,190,30,220,426,51.64%,169,40,209
"Justice, 14th Court of Appeals District, Place 4",1023,894,401,1295,1964,65.94%,841,387,1228
"Justice, 14th Court of Appeals District, Place 4",1024,113,77,190,259,73.36%,105,69,174
"Justice, 14th Court of Appeals District, Place 4",1025,4,0,4,18,22.22%,1,3,4
"Justice, 14th Court of Appeals District, Place 4",1026,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",1027,0,1,1,1,100.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",1028,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 4",1029,1021,641,1662,1802,92.23%,1284,287,1571
"Justice, 14th Court of Appeals District, Place 4",1030,397,105,502,655,76.64%,436,50,486
"Justice, 14th Court of Appeals District, Place 4",1031,3,3,6,6,100.00%,5,1,6
"Justice, 14th Court of Appeals District, Place 4",1032,59,80,139,241,57.68%,97,32,129
"Justice, 14th Court of Appeals District, Place 4",1033,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",1034,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",1035,24,13,37,139,26.62%,3,33,36
"Justice, 14th Court of Appeals District, Place 4",1036,144,46,190,433,43.88%,146,33,179
"Justice, 14th Court of Appeals District, Place 4",1037,27,16,43,73,58.90%,22,15,37
"Justice, 14th Court of Appeals District, Place 4",1038,133,43,176,266,66.17%,10,163,173
"Justice, 14th Court of Appeals District, Place 4",1039,3,5,8,20,40.00%,2,6,8
"Justice, 14th Court of Appeals District, Place 4",1040,194,146,340,607,56.01%,183,137,320
"Justice, 14th Court of Appeals District, Place 4",1041,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",1042,227,50,277,498,55.62%,84,187,271
"Justice, 14th Court of Appeals District, Place 4",1043,12,2,14,31,45.16%,3,11,14
"Justice, 14th Court of Appeals District, Place 4",1044,29,5,34,59,57.63%,9,24,33
"Justice, 14th Court of Appeals District, Place 4",1045,612,321,933,1439,64.84%,123,785,908
"Justice, 14th Court of Appeals District, Place 4",1046,19,18,37,54,68.52%,4,32,36
"Justice, 14th Court of Appeals District, Place 4",1047,553,288,851,1242,68.52%,253,563,816
"Justice, 14th Court of Appeals District, Place 4",1048,3,1,4,18,22.22%,2,2,4
"Justice, 14th Court of Appeals District, Place 4",1049,57,71,128,266,48.12%,39,83,122
"Justice, 14th Court of Appeals District, Place 4",1050,148,153,301,506,59.49%,66,222,288
"Justice, 14th Court of Appeals District, Place 4",1051,0,12,12,0,0.00%,10,2,12
"Justice, 14th Court of Appeals District, Place 4",1052,0,2,2,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 4",1053,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",1054,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",1055,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",1056,4,0,4,6,66.67%,0,4,4
"Justice, 14th Court of Appeals District, Place 4",1057,34,7,41,115,35.65%,2,35,37
"Justice, 14th Court of Appeals District, Place 4",1058,540,246,786,1190,66.05%,133,625,758
"Justice, 14th Court of Appeals District, Place 4",1059,7,3,10,23,43.48%,1,9,10
"Justice, 14th Court of Appeals District, Place 4",1060,13,4,17,49,34.69%,9,8,17
"Justice, 14th Court of Appeals District, Place 4",1061,665,300,965,1613,59.83%,520,403,923
"Justice, 14th Court of Appeals District, Place 4",1062,59,25,85,168,50.60%,19,62,81
"Justice, 14th Court of Appeals District, Place 4",1063,226,63,289,792,36.49%,31,249,280
"Justice, 14th Court of Appeals District, Place 4",1064,45,1,46,120,38.33%,34,10,44
"Justice, 14th Court of Appeals District, Place 4",Totals:,774863,427100,1201963,1942566,580450,555639,1136089
