Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0847,795,321,1116,1804,61.86%,291,775,1066
"Justice, 1st Court of Appeals District, Place 7",0848,782,431,1213,1873,64.76%,364,790,1154
"Justice, 1st Court of Appeals District, Place 7",0849,553,514,1067,2073,51.47%,334,664,998
"Justice, 1st Court of Appeals District, Place 7",0850,87,38,125,205,60.98%,49,71,120
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0851,2192,816,3008,4317,69.68%,1925,936,2861
"Justice, 1st Court of Appeals District, Place 7",0852,0,4,4,2,200.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 7",0853,1413,605,2018,2773,72.77%,1532,389,1921
"Justice, 1st Court of Appeals District, Place 7",0854,41,30,71,175,40.57%,6,63,69
"Justice, 1st Court of Appeals District, Place 7",0855,4,13,17,18,94.44%,8,9,17
"Justice, 1st Court of Appeals District, Place 7",0856,0,4,4,0,0.00%,2,1,3
"Justice, 1st Court of Appeals District, Place 7",0857,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0858,132,18,150,372,40.32%,4,141,145
"Justice, 1st Court of Appeals District, Place 7",0859,309,201,510,860,59.30%,106,393,499
"Justice, 1st Court of Appeals District, Place 7",0860,0,1,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 7",0861,705,319,1024,1786,57.33%,184,815,999
"Justice, 1st Court of Appeals District, Place 7",0862,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0863,210,69,279,620,45.00%,12,259,271
"Justice, 1st Court of Appeals District, Place 7",0864,497,609,1106,2464,44.89%,266,778,1044
"Justice, 1st Court of Appeals District, Place 7",0865,9,2,11,23,47.83%,0,11,11
"Justice, 1st Court of Appeals District, Place 7",0866,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0867,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0868,573,586,1159,2292,50.57%,345,753,1098
"Justice, 1st Court of Appeals District, Place 7",0869,153,76,229,473,48.41%,34,185,219
"Justice, 1st Court of Appeals District, Place 7",0870,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0871,3,0,3,4,75.00%,0,3,3
"Justice, 1st Court of Appeals District, Place 7",0872,13,5,18,66,27.27%,7,9,16
"Justice, 1st Court of Appeals District, Place 7",0873,253,125,378,701,53.92%,91,281,372
"Justice, 1st Court of Appeals District, Place 7",0874,1534,748,2282,3107,73.45%,1719,458,2177
"Justice, 1st Court of Appeals District, Place 7",0875,1719,927,2646,4031,65.64%,1232,1302,2534
"Justice, 1st Court of Appeals District, Place 7",0876,1629,639,2268,3013,75.27%,1627,553,2180
"Justice, 1st Court of Appeals District, Place 7",0877,1031,542,1673,2480,67.46%,693,934,1627
"Justice, 1st Court of Appeals District, Place 7",0878,853,350,1203,1641,73.31%,993,150,1143
"Justice, 1st Court of Appeals District, Place 7",0879,890,527,1417,2334,60.71%,643,718,1361
"Justice, 1st Court of Appeals District, Place 7",0880,1068,472,1540,2007,76.73%,1161,300,1461
"Justice, 1st Court of Appeals District, Place 7",0881,1510,877,2387,3619,65.96%,750,1553,2303
"Justice, 1st Court of Appeals District, Place 7",0882,940,457,1397,2328,60.01%,767,567,1334
"Justice, 1st Court of Appeals District, Place 7",0883,1918,1042,2960,4651,63.64%,502,2373,2875
"Justice, 1st Court of Appeals District, Place 7",0884,118,37,155,330,46.97%,21,128,149
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0885,1222,541,1763,2466,71.49%,1029,647,1676
"Justice, 1st Court of Appeals District, Place 7",0886,301,154,455,713,63.81%,237,173,410
"Justice, 1st Court of Appeals District, Place 7",0887,138,83,221,313,70.61%,121,76,197
"Justice, 1st Court of Appeals District, Place 7",0888,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0889,22,0,22,61,36.07%,13,8,21
"Justice, 1st Court of Appeals District, Place 7",0890,321,118,439,994,44.16%,177,236,413
"Justice, 1st Court of Appeals District, Place 7",0891,539,392,931,1413,65.89%,383,483,866
"Justice, 1st Court of Appeals District, Place 7",0892,194,130,324,696,46.55%,96,205,301
"Justice, 1st Court of Appeals District, Place 7",0893,1,0,1,5,20.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 7",0894,0,31,31,0,0.00%,10,18,28
"Justice, 1st Court of Appeals District, Place 7",0895,335,325,660,784,84.18%,323,277,600
"Justice, 1st Court of Appeals District, Place 7",0896,670,303,973,1437,67.71%,400,494,894
"Justice, 1st Court of Appeals District, Place 7",0897,742,375,1117,1624,68.78%,599,467,1066
"Justice, 1st Court of Appeals District, Place 7",0898,0,0,0,2,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0899,4,0,4,8,50.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 7",0900,5,0,5,12,41.67%,1,3,4
"Justice, 1st Court of Appeals District, Place 7",0901,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0902,865,621,1486,2065,71.96%,858,510,1368
"Justice, 1st Court of Appeals District, Place 7",0903,10,1,11,41,26.83%,5,5,10
"Justice, 1st Court of Appeals District, Place 7",0904,0,1,1,1,100.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 7",0905,290,168,458,908,50.44%,173,246,419
"Justice, 1st Court of Appeals District, Place 7",0906,12,6,18,26,69.23%,10,7,17
"Justice, 1st Court of Appeals District, Place 7",0907,60,43,103,134,76.87%,20,81,101
"Justice, 1st Court of Appeals District, Place 7",0908,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0909,5,7,12,19,63.16%,5,6,11
"Justice, 1st Court of Appeals District, Place 7",0910,55,34,89,226,39.38%,33,50,83
"Justice, 1st Court of Appeals District, Place 7",0911,227,79,306,570,53.68%,194,94,288
"Justice, 1st Court of Appeals District, Place 7",0912,675,221,896,1235,72.55%,548,287,835
"Justice, 1st Court of Appeals District, Place 7",0913,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0914,169,67,236,221,106.79%,179,42,221
"Justice, 1st Court of Appeals District, Place 7",0915,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0916,604,182,786,1045,75.22%,639,112,751
"Justice, 1st Court of Appeals District, Place 7",0917,280,137,417,481,86.69%,290,95,385
"Justice, 1st Court of Appeals District, Place 7",0918,489,135,624,883,70.67%,487,100,587
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0919,0,3,3,3,100.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 7",0920,6,0,6,13,46.15%,6,0,6
"Justice, 1st Court of Appeals District, Place 7",0921,71,9,80,87,91.95%,63,17,80
"Justice, 1st Court of Appeals District, Place 7",0922,0,2,2,0,0.00%,1,1,2
"Justice, 1st Court of Appeals District, Place 7",0923,664,87,751,826,90.92%,571,157,728
"Justice, 1st Court of Appeals District, Place 7",0924,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0925,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0926,351,1,20,481,621,77.46%,357,100,457
"Justice, 1st Court of Appeals District, Place 7",0927,84,74,158,262,60.31%,77,74,151
"Justice, 1st Court of Appeals District, Place 7",0928,4,2,6,9,66.67%,0,6,6
"Justice, 1st Court of Appeals District, Place 7",0929,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0930,200,77,277,567,48.85%,5,265,270
"Justice, 1st Court of Appeals District, Place 7",0931,48,53,101,122,82.79%,53,35,88
"Justice, 1st Court of Appeals District, Place 7",0932,0,5,5,0,0.00%,1,4,5
"Justice, 1st Court of Appeals District, Place 7",0933,235,1,21,356,566,62.90%,92,247,339
"Justice, 1st Court of Appeals District, Place 7",0934,12,1,13,41,31.71%,5,8,13
"Justice, 1st Court of Appeals District, Place 7",0935,8,17,25,65,38.46%,11,13,24
"Justice, 1st Court of Appeals District, Place 7",0936,12,10,22,70,31.43%,6,13,19
"Justice, 1st Court of Appeals District, Place 7",0937,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0938,73,14,87,256,33.98%,30,54,84
"Justice, 1st Court of Appeals District, Place 7",0939,1,0,1,1,100.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 7",0940,1,0,1,13,7.69%,0,1,1
"Justice, 1st Court of Appeals District, Place 7",0941,13,9,22,25,88.00%,21,1,22
"Justice, 1st Court of Appeals District, Place 7",0942,68,24,92,159,57.86%,75,11,86
"Justice, 1st Court of Appeals District, Place 7",0943,297,63,360,536,67.16%,251,77,328
"Justice, 1st Court of Appeals District, Place 7",0944,30,6,36,39,92.31%,29,4,33
"Justice, 1st Court of Appeals District, Place 7",0945,4,7,11,16,68.75%,0,9,9
"Justice, 1st Court of Appeals District, Place 7",0946,3,3,6,14,42.86%,0,4,4
"Justice, 1st Court of Appeals District, Place 7",0947,320,292,612,822,74.45%,323,225,548
"Justice, 1st Court of Appeals District, Place 7",0948,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0949,59,37,96,201,47.76%,41,48,89
"Justice, 1st Court of Appeals District, Place 7",0950,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0951,79,44,123,218,56.42%,23,95,118
"Justice, 1st Court of Appeals District, Place 7",0952,24,16,40,70,57.14%,21,15,36
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0953,59,52,111,420,26.43%,7,103,110
"Justice, 1st Court of Appeals District, Place 7",0954,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0955,5,20,25,18,138.89%,14,9,23
"Justice, 1st Court of Appeals District, Place 7",0956,5,2,7,12,58.33%,4,3,7
"Justice, 1st Court of Appeals District, Place 7",0957,261,115,376,551,68.24%,60,304,364
"Justice, 1st Court of Appeals District, Place 7",0958,289,266,555,989,56.12%,117,409,526
"Justice, 1st Court of Appeals District, Place 7",0959,0,4,4,0,0.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 7",0960,363,143,506,586,86.35%,134,357,491
"Justice, 1st Court of Appeals District, Place 7",0961,23,11,34,53,64.15%,8,26,34
"Justice, 1st Court of Appeals District, Place 7",0962,24,13,37,73,50.68%,7,27,34
"Justice, 1st Court of Appeals District, Place 7",0963,130,69,199,353,56.37%,109,76,185
"Justice, 1st Court of Appeals District, Place 7",0964,947,447,1394,1571,88.73%,836,506,1342
"Justice, 1st Court of Appeals District, Place 7",0965,93,27,120,355,33.80%,74,39,113
"Justice, 1st Court of Appeals District, Place 7",0966,305,160,465,1073,43.34%,132,310,442
"Justice, 1st Court of Appeals District, Place 7",0967,48,15,63,98,64.29%,26,36,62
"Justice, 1st Court of Appeals District, Place 7",0968,243,83,326,517,63.06%,62,255,317
"Justice, 1st Court of Appeals District, Place 7",0969,335,82,417,584,71.40%,1,401,402
"Justice, 1st Court of Appeals District, Place 7",0970,212,76,288,704,40.91%,30,238,268
"Justice, 1st Court of Appeals District, Place 7",0971,27,21,48,129,37.21%,1,46,47
"Justice, 1st Court of Appeals District, Place 7",0972,10,7,17,29,58.62%,11,5,16
"Justice, 1st Court of Appeals District, Place 7",0973,49,24,73,107,68.22%,40,30,70
"Justice, 1st Court of Appeals District, Place 7",0974,101,71,172,299,57.53%,111,53,164
"Justice, 1st Court of Appeals District, Place 7",0975,72,41,113,170,66.47%,52,50,102
"Justice, 1st Court of Appeals District, Place 7",0976,159,131,290,684,42.40%,162,108,270
"Justice, 1st Court of Appeals District, Place 7",0977,104,83,187,535,34.95%,70,107,177
"Justice, 1st Court of Appeals District, Place 7",0978,201,102,303,506,59.88%,50,243,293
"Justice, 1st Court of Appeals District, Place 7",0979,5,e,11,26,42.31%,11,0,11
"Justice, 1st Court of Appeals District, Place 7",0980,595,356,951,1323,71.88%,686,208,894
"Justice, 1st Court of Appeals District, Place 7",0981,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0982,534,218,752,1021,73.65%,585,132,717
"Justice, 1st Court of Appeals District, Place 7",0983,41,28,69,165,41.82%,38,27,65
"Justice, 1st Court of Appeals District, Place 7",0984,43,49,92,198,46.46%,7,82,89
"Justice, 1st Court of Appeals District, Place 7",0985,172,67,239,336,71.13%,122,100,222
"Justice, 1st Court of Appeals District, Place 7",0986,129,86,215,404,53.22%,18,182,200
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0987,465,191,656,1138,57.64%,51,584,635
"Justice, 1st Court of Appeals District, Place 7",0988,44,21,65,111,58.56%,52,9,61
"Justice, 1st Court of Appeals District, Place 7",0989,18,8,26,36,72.22%,11,14,25
"Justice, 1st Court of Appeals District, Place 7",0990,37,15,52,154,33.77%,14,31,45
"Justice, 1st Court of Appeals District, Place 7",0991,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0992,310,202,512,1015,50.44%,283,209,492
"Justice, 1st Court of Appeals District, Place 7",0993,272,91,363,551,65.88%,284,56,340
"Justice, 1st Court of Appeals District, Place 7",0994,6,5,11,8,137.50%,2,8,10
"Justice, 1st Court of Appeals District, Place 7",0995,596,190,786,1269,61.94%,36,720,756
"Justice, 1st Court of Appeals District, Place 7",0996,297,125,422,699,60.37%,234,161,395
"Justice, 1st Court of Appeals District, Place 7",0997,429,328,757,1439,52.61%,126,608,734
"Justice, 1st Court of Appeals District, Place 7",0998,15,9,24,35,68.57%,16,7,23
"Justice, 1st Court of Appeals District, Place 7",0999,30,16,46,65,70.77%,36,7,43
"Justice, 1st Court of Appeals District, Place 7",1000,105,0,105,458,22.93%,18,80,98
"Justice, 1st Court of Appeals District, Place 7",1001,496,294,790,1566,50.45%,148,597,745
"Justice, 1st Court of Appeals District, Place 7",1002,464,314,778,1738,44.76%,87,658,745
"Justice, 1st Court of Appeals District, Place 7",1003,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",1004,224,153,377,656,57.47%,192,140,332
"Justice, 1st Court of Appeals District, Place 7",1005,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",1006,3,0,3,5,60.00%,3,0,3
"Justice, 1st Court of Appeals District, Place 7",1007,555,295,850,1371,62.00%,202,623,825
"Justice, 1st Court of Appeals District, Place 7",1008,86,21,107,150,71.33%,82,20,102
"Justice, 1st Court of Appeals District, Place 7",1009,3,1,4,8,50.00%,3,1,4
"Justice, 1st Court of Appeals District, Place 7",1010,125,74,199,317,62.78%,29,162,191
"Justice, 1st Court of Appeals District, Place 7",1011,12,3,15,29,51.72%,6,6,12
"Justice, 1st Court of Appeals District, Place 7",1012,395,318,713,1235,57.73%,187,498,685
"Justice, 1st Court of Appeals District, Place 7",1013,8,14,22,60,36.67%,15,7,22
"Justice, 1st Court of Appeals District, Place 7",1014,9,7,16,36,44.44%,3,13,16
"Justice, 1st Court of Appeals District, Place 7",1015,11,7,18,29,62.07%,4,13,17
"Justice, 1st Court of Appeals District, Place 7",1016,591,364,955,1626,58.73%,427,486,913
"Justice, 1st Court of Appeals District, Place 7",1017,127,50,177,232,76.29%,48,122,170
"Justice, 1st Court of Appeals District, Place 7",1018,209,92,301,468,64.32%,140,151,291
"Justice, 1st Court of Appeals District, Place 7",1019,426,4,430,1518,28.33%,15,398,413
"Justice, 1st Court of Appeals District, Place 7",1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",1021,1,0,1,2,50.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 7",1022,190,30,220,426,51.64%,170,39,209
"Justice, 1st Court of Appeals District, Place 7",1023,894,401,1295,1964,65.94%,834,397,1231
"Justice, 1st Court of Appeals District, Place 7",1024,113,77,190,259,73.36%,101,72,173
"Justice, 1st Court of Appeals District, Place 7",1025,4,0,4,18,22.22%,1,3,4
"Justice, 1st Court of Appeals District, Place 7",1026,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",1027,0,1,1,1,100.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",1028,0,1,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 7",1029,1021,641,1662,1802,92.23%,1274,297,1571
"Justice, 1st Court of Appeals District, Place 7",1030,397,105,502,655,76.64%,436,52,488
"Justice, 1st Court of Appeals District, Place 7",1031,3,3,6,6,100.00%,5,1,6
"Justice, 1st Court of Appeals District, Place 7",1032,59,80,139,241,57.68%,97,34,131
"Justice, 1st Court of Appeals District, Place 7",1033,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",1034,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",1035,24,13,37,139,26.62%,3,33,36
"Justice, 1st Court of Appeals District, Place 7",1036,144,46,190,433,43.88%,145,35,180
"Justice, 1st Court of Appeals District, Place 7",1037,27,16,43,73,58.90%,21,16,37
"Justice, 1st Court of Appeals District, Place 7",1038,133,43,176,266,66.17%,10,163,173
"Justice, 1st Court of Appeals District, Place 7",1039,3,5,8,20,40.00%,2,6,8
"Justice, 1st Court of Appeals District, Place 7",1040,194,146,340,607,56.01%,181,139,320
"Justice, 1st Court of Appeals District, Place 7",1041,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",1042,227,50,277,498,55.62%,81,191,272
"Justice, 1st Court of Appeals District, Place 7",1043,12,2,14,31,45.16%,3,11,14
"Justice, 1st Court of Appeals District, Place 7",1044,29,5,34,59,57.63%,7,26,33
"Justice, 1st Court of Appeals District, Place 7",1045,612,321,933,1439,64.84%,121,785,906
"Justice, 1st Court of Appeals District, Place 7",1046,19,18,37,54,68.52%,5,31,36
"Justice, 1st Court of Appeals District, Place 7",1047,553,288,851,1242,68.52%,255,561,816
"Justice, 1st Court of Appeals District, Place 7",1048,3,1,4,18,22.22%,2,2,4
"Justice, 1st Court of Appeals District, Place 7",1049,57,71,128,266,48.12%,39,84,123
"Justice, 1st Court of Appeals District, Place 7",1050,148,153,301,506,59.49%,68,220,288
"Justice, 1st Court of Appeals District, Place 7",1051,0,12,12,0,0.00%,10,2,12
"Justice, 1st Court of Appeals District, Place 7",1052,0,2,2,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 7",1053,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",1054,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",1055,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",1056,4,0,4,6,66.67%,0,4,4
"Justice, 1st Court of Appeals District, Place 7",1057,34,7,41,115,35.65%,2,35,37
"Justice, 1st Court of Appeals District, Place 7",1058,540,246,786,1190,66.05%,124,635,759
"Justice, 1st Court of Appeals District, Place 7",1059,7,3,10,23,43.48%,1,9,10
"Justice, 1st Court of Appeals District, Place 7",1060,13,4,17,49,34.69%,9,8,17
"Justice, 1st Court of Appeals District, Place 7",1061,665,300,965,1613,59.83%,507,418,925
"Justice, 1st Court of Appeals District, Place 7",1062,59,25,85,168,50.60%,20,61,81
"Justice, 1st Court of Appeals District, Place 7",1063,226,63,289,792,36.49%,28,253,281
"Justice, 1st Court of Appeals District, Place 7",1064,45,1,46,120,38.33%,34,10,44
"Justice, 1st Court of Appeals District, Place 7",Totals:,774863,427100,1201963,1942566,,572326,565258,1137584
