Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Parker Hervey,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 7",0897,742,375,1117,1624,68.78%,642,155,797
"Judge, Court of Criminal Appeals, Place 7",0898,0,0,0,2,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0899,4,0,4,8,50.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 7",0900,5,0,5,12,41.67%,2,1,3
"Judge, Court of Criminal Appeals, Place 7",0901,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0902,868,621,1489,2065,72.11%,894,318,1212
"Judge, Court of Criminal Appeals, Place 7",0903,10,1,11,41,26.83%,8,1,9
"Judge, Court of Criminal Appeals, Place 7",0904,0,1,1,1,100.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0905,290,158,458,908,50.44%,209,86,295
"Judge, Court of Criminal Appeals, Place 7",0906,12,6,18,26,69.23%,11,3,14
"Judge, Court of Criminal Appeals, Place 7",0907,61,43,104,134,77.61%,27,33,60
"Judge, Court of Criminal Appeals, Place 7",0908,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0909,5,7,12,19,63.16%,8,2,10
"Judge, Court of Criminal Appeals, Place 7",0910,55,34,89,226,39.38%,40,15,55
"Judge, Court of Criminal Appeals, Place 7",0911,227,79,306,570,53.68%,202,39,241
"Judge, Court of Criminal Appeals, Place 7",0912,677,221,898,1235,72.71%,560,122,682
"Judge, Court of Criminal Appeals, Place 7",0913,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0914,173,67,240,221,108.60%,187,28,215
"Judge, Court of Criminal Appeals, Place 7",0915,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0916,505,182,787,1045,75.31%,649,55,704
"Judge, Court of Criminal Appeals, Place 7",0917,282,137,419,481,87.11%,306,60,366
"Judge, Court of Criminal Appeals, Place 7",0918,489,135,624,883,70.67%,502,54,556
"Judge, Court of Criminal Appeals, Place 7",0919,0,3,3,3,100.00%,1,2,3
"Judge, Court of Criminal Appeals, Place 7",0920,6,0,6,13,46.15%,6,0,6
"Judge, Court of Criminal Appeals, Place 7",0921,71,9,80,87,91.95%,64,12,76
"Judge, Court of Criminal Appeals, Place 7",0922,0,2,2,0,0.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 7",0923,666,87,753,826,91.16%,595,60,655
"Judge, Court of Criminal Appeals, Place 7",0924,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0925,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0926,351,120,481,621,77.46%,375,40,415
"Judge, Court of Criminal Appeals, Place 7",0927,84,74,158,262,60.31%,83,33,116
"Judge, Court of Criminal Appeals, Place 7",0928,4,2,6,9,66.67%,0,2,2
"Judge, Court of Criminal Appeals, Place 7",0929,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0930,200,77,277,567,48.85%,10,54,64
"Judge, Court of Criminal Appeals, Place 7",0931,48,53,101,122,82.79%,60,21,81
"Judge, Court of Criminal Appeals, Place 7",0932,0,5,5,0,0.00%,2,2,4
"Judge, Court of Criminal Appeals, Place 7",0933,235,121,357,566,63.07%,123,110,233
"Judge, Court of Criminal Appeals, Place 7",0934,12,1,13,41,31.71%,6,5,11
"Judge, Court of Criminal Appeals, Place 7",0935,8,17,25,65,38.46%,17,4,21
"Judge, Court of Criminal Appeals, Place 7",0936,12,10,22,70,31.43%,7,2,9
"Judge, Court of Criminal Appeals, Place 7",0937,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0938,73,14,87,256,33.98%,33,21,54
"Judge, Court of Criminal Appeals, Place 7",0939,1,0,1,1,100.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 7",0940,1,0,1,13,7.69%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0941,13,9,22,25,88.00%,20,2,22
"Judge, Court of Criminal Appeals, Place 7",0942,68,24,92,159,57.86%,70,11,81
"Judge, Court of Criminal Appeals, Place 7",0943,297,63,360,536,67.16%,268,30,298
"Judge, Court of Criminal Appeals, Place 7",0944,30,6,36,39,92.31%,31,2,33
"Judge, Court of Criminal Appeals, Place 7",0945,4,7,11,16,68.75%,3,3,6
"Judge, Court of Criminal Appeals, Place 7",0946,3,3,6,14,42.86%,0,1,1
"Judge, Court of Criminal Appeals, Place 7",0947,320,292,612,822,74.45%,348,120,468
"Judge, Court of Criminal Appeals, Place 7",0948,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0949,59,37,96,201,47.76%,46,26,72
"Judge, Court of Criminal Appeals, Place 7",0950,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0951,79,44,123,218,56.42%,33,37,70
"Judge, Court of Criminal Appeals, Place 7",0952,24,16,40,70,57.14%,24,10,34
"Judge, Court of Criminal Appeals, Place 7",0953,59,52,111,420,26.43%,13,34,47
"Judge, Court of Criminal Appeals, Place 7",0954,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0955,5,20,25,18,138.89%,16,5,21
"Judge, Court of Criminal Appeals, Place 7",0956,5,2,7,12,58.33%,5,2,7
"Judge, Court of Criminal Appeals, Place 7",0957,261,115,376,551,68.24%,87,67,154
"Judge, Court of Criminal Appeals, Place 7",0958,289,266,555,989,56.12%,137,93,230
"Judge, Court of Criminal Appeals, Place 7",0959,0,4,4,0,0.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 7",0960,364,143,507,586,86.52%,169,99,268
"Judge, Court of Criminal Appeals, Place 7",0961,23,11,34,53,64.15%,9,7,16
"Judge, Court of Criminal Appeals, Place 7",0962,24,13,37,73,50.68%,8,16,24
"Judge, Court of Criminal Appeals, Place 7",0963,130,69,199,353,56.37%,113,30,143
"Judge, Court of Criminal Appeals, Place 7",0964,950,447,1397,1571,88.92%,895,202,1097
"Judge, Court of Criminal Appeals, Place 7",0965,93,27,120,355,33.80%,82,16,98
"Judge, Court of Criminal Appeals, Place 7",0966,305,160,465,1073,43.34%,143,118,261
"Judge, Court of Criminal Appeals, Place 7",0967,48,15,63,98,64.29%,26,17,43
"Judge, Court of Criminal Appeals, Place 7",0968,243,83,326,517,63.06%,84,84,168
"Judge, Court of Criminal Appeals, Place 7",0969,335,82,417,584,71.40%,11,90,101
"Judge, Court of Criminal Appeals, Place 7",0970,212,76,288,704,40.91%,47,47,94
"Judge, Court of Criminal Appeals, Place 7",0971,27,21,48,129,37.21%,5,13,18
"Judge, Court of Criminal Appeals, Place 7",0972,10,7,17,29,58.62%,12,4,16
"Judge, Court of Criminal Appeals, Place 7",0973,49,24,73,107,68.22%,49,14,63
"Judge, Court of Criminal Appeals, Place 7",0974,101,71,172,299,57.53%,114,34,148
"Judge, Court of Criminal Appeals, Place 7",0975,72,41,113,170,66.47%,56,23,79
"Judge, Court of Criminal Appeals, Place 7",0976,159,131,290,684,42.40%,184,31,215
"Judge, Court of Criminal Appeals, Place 7",0977,105,83,188,535,35.14%,77,27,104
"Judge, Court of Criminal Appeals, Place 7",0978,201,102,303,506,59.88%,78,73,151
"Judge, Court of Criminal Appeals, Place 7",0979,56,11,26,42.31%,11,0,11
"Judge, Court of Criminal Appeals, Place 7",0980,596,356,952,1323,71.96%,716,100,816
"Judge, Court of Criminal Appeals, Place 7",0981,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0982,534,218,752,1021,73.65%,583,77,660
"Judge, Court of Criminal Appeals, Place 7",0983,41,28,69,165,41.82%,44,14,58
"Judge, Court of Criminal Appeals, Place 7",0984,43,49,92,198,46.46%,10,31,41
"Judge, Court of Criminal Appeals, Place 7",0985,172,67,239,336,71.13%,139,44,183
"Judge, Court of Criminal Appeals, Place 7",0986,129,86,215,404,53.22%,25,53,78
"Judge, Court of Criminal Appeals, Place 7",0987,465,191,656,1138,57.64%,81,117,198
"Judge, Court of Criminal Appeals, Place 7",0988,44,21,65,111,58.56%,56,1,57
"Judge, Court of Criminal Appeals, Place 7",0989,18,8,26,36,72.22%,11,6,17
"Judge, Court of Criminal Appeals, Place 7",0990,37,15,52,154,33.77%,25,5,30
"Judge, Court of Criminal Appeals, Place 7",0991,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0992,310,202,512,1015,50.44%,306,71,377
"Judge, Court of Criminal Appeals, Place 7",0993,272,91,363,551,65.88%,283,39,322
"Judge, Court of Criminal Appeals, Place 7",0994,6,5,11,8,137.50%,3,3,6
"Judge, Court of Criminal Appeals, Place 7",0995,598,190,788,1269,62.10%,79,179,258
"Judge, Court of Criminal Appeals, Place 7",0996,297,125,422,699,60.37%,248,61,309
"Judge, Court of Criminal Appeals, Place 7",0997,432,328,760,1439,52.81%,187,179,366
"Judge, Court of Criminal Appeals, Place 7",0998,15,9,24,35,68.57%,20,1,21
"Judge, Court of Criminal Appeals, Place 7",0999,30,16,46,65,70.77%,37,0,37
"Judge, Court of Criminal Appeals, Place 7",1000,105,0,105,458,22.93%,23,27,50
"Judge, Court of Criminal Appeals, Place 7",1001,496,294,790,1566,50.45%,200,170,370
"Judge, Court of Criminal Appeals, Place 7",1002,465,314,779,1738,44.82%,124,195,319
"Judge, Court of Criminal Appeals, Place 7",1003,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1004,225,153,378,656,57.62%,211,69,280
"Judge, Court of Criminal Appeals, Place 7",1005,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1006,3,0,3,5,60.00%,3,0,3
"Judge, Court of Criminal Appeals, Place 7",1007,556,295,851,1371,62.07%,254,196,450
"Judge, Court of Criminal Appeals, Place 7",1008,86,21,107,150,71.33%,85,11,96
"Judge, Court of Criminal Appeals, Place 7",1009,3,1,4,8,50.00%,3,1,4
"Judge, Court of Criminal Appeals, Place 7",1010,125,74,199,317,62.78%,44,63,107
"Judge, Court of Criminal Appeals, Place 7",1011,12,3,15,29,51.72%,7,1,8
"Judge, Court of Criminal Appeals, Place 7",1012,395,318,713,1235,57.73%,231,104,335
"Judge, Court of Criminal Appeals, Place 7",1013,8,14,22,60,36.67%,17,0,17
"Judge, Court of Criminal Appeals, Place 7",1,014,9,7,1,6,36,44.44%,3,4,7
"Judge, Court of Criminal Appeals, Place 7",1015,11,7,18,29,62.07%,5,3,8
"Judge, Court of Criminal Appeals, Place 7",1016,593,364,957,1626,58.86%,489,193,682
"Judge, Court of Criminal Appeals, Place 7",1017,127,50,177,232,76.29%,62,42,104
"Judge, Court of Criminal Appeals, Place 7",1018,209,92,301,468,64.32%,158,45,203
"Judge, Court of Criminal Appeals, Place 7",1019,427,4,431,1518,28.39%,33,106,139
"Judge, Court of Criminal Appeals, Place 7",1020,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1021,1,0,1,2,50.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1022,190,30,220,426,51.64%,176,19,195
"Judge, Court of Criminal Appeals, Place 7",1023,898,401,1299,1964,66.14%,889,194,1083
"Judge, Court of Criminal Appeals, Place 7",1024,113,77,190,259,73.36%,106,44,150
"Judge, Court of Criminal Appeals, Place 7",1025,4,0,4,18,22.22%,1,0,1
"Judge, Court of Criminal Appeals, Place 7",1026,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1027,0,1,1,1,100.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1028,0,1,1,0,0.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 7",1029,1023,641,1664,1802,92.34%,1307,146,1453
"Judge, Court of Criminal Appeals, Place 7",1030,398,105,503,655,76.79%,444,24,468
"Judge, Court of Criminal Appeals, Place 7",1031,3,3,6,6,100.00%,5,0,5
"Judge, Court of Criminal Appeals, Place 7",1032,59,80,139,241,57.68%,97,17,114
"Judge, Court of Criminal Appeals, Place 7",1033,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1034,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1035,24,13,37,139,26.62%,9,7,16
"Judge, Court of Criminal Appeals, Place 7",1036,144,46,190,433,43.88%,148,12,160
"Judge, Court of Criminal Appeals, Place 7",1037,27,16,43,73,58.90%,23,7,30
"Judge, Court of Criminal Appeals, Place 7",1038,133,43,176,266,66.17%,12,27,39
"Judge, Court of Criminal Appeals, Place 7",1039,3,5,8,20,40.00%,3,2,5
"Judge, Court of Criminal Appeals, Place 7",1040,195,146,341,607,56.18%,186,71,257
"Judge, Court of Criminal Appeals, Place 7",1041,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1042,228,50,278,498,55.82%,89,60,149
"Judge, Court of Criminal Appeals, Place 7",1043,12,2,14,31,45.16%,3,2,5
"Judge, Court of Criminal Appeals, Place 7",1044,29,5,34,59,57.63%,9,6,15
"Judge, Court of Criminal Appeals, Place 7",1045,615,321,936,1439,65.05%,185,251,436
"Judge, Court of Criminal Appeals, Place 7",1046,19,18,37,54,68.52%,8,6,14
"Judge, Court of Criminal Appeals, Place 7",1047,554,288,852,1242,68.60%,307,212,519
"Judge, Court of Criminal Appeals, Place 7",1048,3,1,4,18,22.22%,2,0,2
"Judge, Court of Criminal Appeals, Place 7",1049,57,71,128,266,48.12%,54,22,76
"Judge, Court of Criminal Appeals, Place 7",1050,148,153,301,506,59.49%,84,74,158
"Judge, Court of Criminal Appeals, Place 7",1,051,0,1,2,1,2,0,0.00%,9,3,1,2
"Judge, Court of Criminal Appeals, Place 7",1052,0,2,2,0,0.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 7",1053,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1054,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1055,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",1056,4,0,4,6,66.67%,1,1,2
"Judge, Court of Criminal Appeals, Place 7",1057,34,7,41,115,35.65%,2,8,10
"Judge, Court of Criminal Appeals, Place 7",1058,540,246,786,1190,66.05%,167,166,333
"Judge, Court of Criminal Appeals, Place 7",1059,7,3,10,23,43.48%,3,1,4
"Judge, Court of Criminal Appeals, Place 7",1060,13,4,17,49,34.69%,11,3,14
"Judge, Court of Criminal Appeals, Place 7",1061,666,300,966,1613,59.89%,558,154,712
"Judge, Court of Criminal Appeals, Place 7",1062,59,25,85,168,50.60%,27,19,46
"Judge, Court of Criminal Appeals, Place 7",1063,226,63,289,792,36.49%,42,52,94
"Judge, Court of Criminal Appeals, Place 7",1064,45,1,46,120,38.33%,35,6,41
"Judge, Court of Criminal Appeals, Place 7",Totals:,775751,427100,1202851,1942566,,625035,198211,823246
