Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0995,596,190,786,1269,61.94%,32,721,753
"District Judge, 178th Judicial District",0996,297,1,25,422,699,60.37%,224,1,70,394
"District Judge, 178th Judicial District",0997,429,328,757,1439,52.61%,121,610,731
"District Judge, 178th Judicial District",0998,15,9,24,35,68.57%,16,7,23
"District Judge, 178th Judicial District",0999,30,16,46,65,70.77%,36,7,43
"District Judge, 178th Judicial District",1000,105,0,105,458,22.93%,17,81,98
"District Judge, 178th Judicial District",1001,496,294,790,1566,50.45%,147,597,744
"District Judge, 178th Judicial District",1002,464,314,778,1738,44.76%,82,663,745
"District Judge, 178th Judicial District",1003,0,0,0,1,0.00%,0,0,0
"District Judge, 178th Judicial District",1004,224,153,377,656,57.47%,185,147,332
"District Judge, 178th Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 178th Judicial District",1006,3,0,3,5,60.00%,3,0,3
"District Judge, 178th Judicial District",1007,555,295,850,1371,62.00%,188,633,821
"District Judge, 178th Judicial District",1008,86,21,107,150,71.33%,80,21,101
"District Judge, 178th Judicial District",1009,3,1,4,8,50.00%,3,0,3
"District Judge, 178th Judicial District",1010,124,74,198,317,62.46%,29,161,190
"District Judge, 178th Judicial District",1011,12,3,15,29,51.72%,5,7,12
"District Judge, 178th Judicial District",1012,395,318,713,1235,57.73%,181,507,688
"District Judge, 178th Judicial District",1013,8,14,22,60,36.67%,15,7,22
"District Judge, 178th Judicial District",1014,9,7,16,36,44.44%,3,13,16
"District Judge, 178th Judicial District",1015,11,7,18,29,62.07%,4,13,17
"District Judge, 178th Judicial District",1016,591,364,955,1626,58.73%,411,499,910
"District Judge, 178th Judicial District",1017,127,50,177,232,76.29%,47,123,170
"District Judge, 178th Judicial District",1018,209,92,301,468,64.32%,138,153,291
"District Judge, 178th Judicial District",1019,426,4,430,1518,28.33%,14,397,411
"District Judge, 178th Judicial District",1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",1021,1,0,1,2,50.00%,0,1,1
"District Judge, 178th Judicial District",1022,190,30,220,426,51.64%,168,42,210
"District Judge, 178th Judicial District",1023,894,401,1295,1964,65.94%,817,403,1220
"District Judge, 178th Judicial District",1024,113,77,190,259,73.36%,95,76,171
"District Judge, 178th Judicial District",1025,4,0,4,18,22.22%,1,3,4
"District Judge, 178th Judicial District",1026,0,0,0,0,0.00%,0,0,0
"District Judge, 178th Judicial District",1027,0,1,1,1,100.00%,0,0,0
"District Judge, 178th Judicial District",1028,0,1,1,0,0.00%,1,0,1
"District Judge, 178th Judicial District",1029,1021,641,1662,1802,92.23%,1260,300,1560
"District Judge, 178th Judicial District",1030,397,105,502,655,76.64%,429,52,481
"District Judge, 178th Judicial District",1031,3,3,6,6,100.00%,5,1,6
"District Judge, 178th Judicial District",1032,59,80,139,241,57.68%,96,33,129
"District Judge, 178th Judicial District",1033,0,0,0,0,0.00%,0,0,0
"District Judge, 178th Judicial District",1034,0,0,0,1,0.00%,0,0,0
"District Judge, 178th Judicial District",1035,24,13,37,139,26.62%,3,33,36
"District Judge, 178th Judicial District",1036,144,46,190,433,43.88%,143,36,179
"District Judge, 178th Judicial District",1037,27,16,43,73,58.90%,21,15,36
"District Judge, 178th Judicial District",1038,133,43,176,266,66.17%,11,162,173
"District Judge, 178th Judicial District",1039,3,5,8,20,40.00%,1,7,8
"District Judge, 178th Judicial District",1040,192,146,338,607,55.68%,174,142,316
"District Judge, 178th Judicial District",1041,0,0,0,0,0.00%,0,0,0
"District Judge, 178th Judicial District",1042,227,50,277,498,55.62%,76,195,271
"District Judge, 178th Judicial District",1043,12,2,14,31,45.16%,3,11,14
"District Judge, 178th Judicial District",1044,29,5,34,59,57.63%,8,26,34
"District Judge, 178th Judicial District",1045,611,321,932,1439,64.77%,118,782,900
"District Judge, 178th Judicial District",1046,19,18,37,54,68.52%,4,32,36
"District Judge, 178th Judicial District",1047,553,288,851,1242,68.52%,245,572,817
"District Judge, 178th Judicial District",1048,3,1,4,18,22.22%,2,2,4
"District Judge, 178th Judicial District",1049,57,71,128,266,48.12%,34,87,121
"District Judge, 178th Judicial District",1050,148,153,301,506,59.49%,60,227,287
"District Judge, 178th Judicial District",1,051,0,1,2,1,2,0,0.00%,9,2,1,1
"District Judge, 178th Judicial District",1052,0,2,2,0,0.00%,1,0,1
"District Judge, 178th Judicial District",1053,0,0,0,0,0.00%,0,0,0
"District Judge, 178th Judicial District",1054,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",1055,0,0,0,0,0.00%,0,0,0
"District Judge, 178th Judicial District",1056,4,0,4,6,66.67%,0,4,4
"District Judge, 178th Judicial District",1057,34,7,41,115,35.65%,1,36,37
"District Judge, 178th Judicial District",1058,540,246,786,1190,66.05%,117,639,756
"District Judge, 178th Judicial District",1059,7,3,10,23,43.48%,1,9,10
"District Judge, 178th Judicial District",1060,13,4,17,49,34.69%,9,8,17
"District Judge, 178th Judicial District",1061,665,300,965,1613,59.83%,504,417,921
"District Judge, 178th Judicial District",1062,59,25,85,168,50.60%,19,62,81
"District Judge, 178th Judicial District",1063,226,63,289,792,36.49%,29,252,281
"District Judge, 178th Judicial District",1064,45,1,46,120,38.33%,34,9,43
"District Judge, 178th Judicial District",Totals:,774640,427100,1201740,1942566,553245,579079,1132324
